xformer_name,xformer_wind1_bus,xformer_wind2_bus,xformer_wind3_bus,xformer_id,winding1_basemva,winding2_basemva,winding3_basemva,winding1_basekv,winding2_basekv,winding3_basekv,winding1_rateA,winding1_rateB,winding1_rateC,winding2_rateA,winding2_rateB,winding2_rateC,winding3_rateA,winding3_rateB,winding3_rateC,p_winding1,q_winding1,p_winding2,q_winding2,p_winding3,q_winding3,amp_winding1,amp_winding2,amp_winding3,Ploss,Qloss,winding1_stat,winding2_stat,winding3_stat,violate
BANK 51,667500,667035,669101,51,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1385.987183,1385.987183,2387.970947,2713.044189,3012.011475,2861.649170,2861.649170,2861.649170,-240.5177765,117.8877869,240.7167664,-191.9701843,0.00000000,82.12278748,297.5262756,739.5926514,974.4537354,0.19898987,8.04039001,1,1,1,
BANK 52,667500,667035,669102,52,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1385.987183,1385.987183,2387.970947,2713.044189,3012.011475,2861.649170,2861.649170,2861.649170,-240.8741913,126.7563019,241.1141205,-284.1002197,0.00000000,168.7862549,302.3417053,895.0892944,1975.663086,0.23992920,11.44233704,1,1,1,
BANK 1_8,667038,668148,669148,1,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,628.0566406,753.0655518,628.0566406,1255.109253,1411.244995,1255.109253,2510.218506,2510.218506,2510.218506,81.07336426,38.02447891,-81.00390625,-34.23671722,-0.00000000,0.00000000,216.6099701,433.2198792,0.00000000,0.06945801,3.78776169,1,1,1,
BANK 2_5,667038,668148,669149,2,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1013.124268,884.0990601,2451.646729,2451.646729,2451.646729,61.32900620,28.74625397,-61.27577972,-25.88141632,-0.00000000,0.00000000,163.8391113,327.6784058,0.00000000,0.05322647,2.86483765,1,1,1,
BANK 3,667038,668038,669150,3,171.0000000,171.0000000,171.0000000,230.0000000,115.0000000,13.80000019,714.9102783,830.8823242,714.9102783,1430.824585,1594.992920,1430.824585,2928.588379,2928.588379,2928.588379,91.27483368,43.44074249,-91.22496033,-39.16772842,-0.00000000,0.00000000,244.5187531,489.0371094,0.00000000,0.04987335,4.27301407,1,1,1,
BANK 4,667038,668038,669151,4,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1013.124268,884.0990601,2451.646729,2451.646729,2451.646729,61.57347488,28.68727684,-61.51636887,-25.81712914,0.00000000,0.00000000,164.3144531,328.6302490,0.00000000,0.05710602,2.87014771,1,1,1,
BANK 71,667501,667041,669100,71,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1662.999756,1385.987183,3012.011475,3570.032959,3012.011475,3966.145264,3966.145264,3966.145264,-156.0570221,125.6094360,156.3963623,-287.3061523,0.00000000,176.7288055,222.2167053,785.7716064,2021.613159,0.33934021,15.03208923,1,1,1,
BANK 72,667501,667041,669135,72,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1662.999756,1385.987183,3012.011475,3570.032959,3012.011475,3966.145264,3966.145264,3966.145264,-156.2145996,24.70195007,156.2640839,-20.30764961,-0.00000000,0.00000000,175.4358826,378.5218811,0.00000000,0.04948425,4.39430046,1,1,1,
BANK 1_12,667047,668047,669152,1,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,703.1122437,842.9313965,703.1122437,1191.851807,1199.884521,1406.224487,2510.218506,2510.218506,2510.218506,69.02569580,0.56929684,-68.98490143,1.65803826,-0.00000000,0.00000000,166.3545532,341.2413025,0.00000000,0.04079437,2.22733498,1,1,1,
BANK 2_9,667047,668047,669113,2,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,628.0566406,753.0655518,628.0566406,1199.884521,1199.884521,1255.109253,2510.218506,2510.218506,2510.218506,69.02649689,0.66020745,-68.98839569,1.56541574,-0.00000000,0.00000000,166.3584290,341.2478943,0.00000000,0.03810120,2.22562313,1,1,1,
BANK 3_2,667047,668047,669153,3,168.7500000,168.7500000,168.7500000,230.0000000,115.0000000,13.80000019,705.1203613,845.9436646,705.1203613,1073.871460,1198.880493,1411.244995,2823.995850,2823.995850,2823.995850,66.61142731,0.64874470,-66.57495117,1.49938524,-0.00000000,-0.00000000,160.5382080,329.3086548,0.00000000,0.03647614,2.14812994,1,1,1,
CLIFF LAKE AUTO 1,667055,668055,669154,1,120.0000000,120.0000000,120.0000000,230.0000000,110.0000000,13.80000019,565.0502319,570.0706787,565.0502319,1181.468628,1417.657349,1181.468628,9417.503906,9501.177734,9417.503906,28.79061699,1.05203879,-28.84729004,-12.97548389,0.07110700,12.65181923,71.05982208,152.2039185,513.5710449,0.01443395,0.72837448,1,1,1,
CLIFF LAKE AUTO 2,667055,668056,669154,2,120.0000000,120.0000000,120.0000000,230.0000000,110.0000000,13.80000019,565.0502319,607.9749146,593.9177246,1181.468628,1417.657349,1241.828003,9417.503906,10132.91504,9898.628906,28.84651184,0.88549536,-28.76201057,-12.98451424,-0.07110702,12.84288311,71.18380737,151.8595886,521.3265991,0.01339425,0.74386406,1,1,1,
OVERFLOWING RIVER BANK 1,667060,668135,669125,1,56.25000000,56.25000000,56.25000000,230.0000000,110.0000000,13.80000019,188.0153656,188.0153656,188.0153656,394.1727600,394.1727600,394.1727600,1568.886597,1568.886597,1568.886597,0.00000000,-0.00131970,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00320166,0.00000000,0.00000000,0.00000000,-0.00131970,1,1,1,
RAVEN LAKE AUTO 3,667064,668064,669143,3,75.00000000,75.00000000,75.00000000,230.0000000,115.0000000,13.80000019,251.0218506,300.9751892,251.0218506,502.0437012,601.9503784,502.0437012,1380.620117,1380.620117,1380.620117,-11.56894207,-4.09385824,11.56894398,4.22321129,0.00000000,0.00000000,30.10854340,62.07959366,0.00000000,0.00000191,0.12935305,1,1,0,
CORNWALLIS AUTO 1,667070,668070,669138,1,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,855.9845581,950.8707886,884.0990601,2229.910889,2229.910889,2229.910889,63.20895004,15.35674477,-63.14476776,-12.31286049,0.00000000,0.00000000,169.0076904,315.9031677,0.00000000,0.06418228,3.04388428,1,1,1,
CORNWALLIS AUTO 2,667070,668071,669140,3,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1059.814331,884.0990601,2229.910889,2229.910889,2229.910889,62.07450485,29.13485527,-62.07453156,-25.73415375,0.00000000,-0.00000000,178.1639557,329.9326782,0.00000000,-0.00002670,3.40070152,1,1,1,
CORNWALLIS AUTO 3,667070,668072,669139,2,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,855.9845581,950.8707886,884.0990601,2229.910889,2229.910889,2229.910889,62.64283752,15.29737091,-62.58347702,-12.28302288,0.00000000,0.00000000,167.5420837,313.1629944,0.00000000,0.05936050,3.01434803,1,1,1,
