xformer_name,xformer_wind1_bus,xformer_wind2_bus,xformer_id,xformer_basemva,winding1_basekv,winding2_basekv,winding1_rateA,winding1_rateB,winding1_rateC,winding2_rateA,winding2_rateB,winding2_rateC,p_winding1,q_winding1,p_winding2,q_winding2,amp_winding1,amp_winding2,Ploss,Qloss,stat,violate
T9_3,667002,669718,9,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6933212,-48.31323242,123.0360184,60.96302795,327.4661255,5594.211914,0.34269235,12.64981651,1,
T10_7,667002,669719,10,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,0.53015512,2.75562072,-0.52999997,-2.75000000,6.96876049,119.0530548,0.00015520,0.00570197,1,
T7_6,667003,669716,7,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6939774,-48.27790833,123.0360184,60.96302795,327.1515503,5588.840332,0.34203440,12.68501472,1,
T8_3,667003,669717,8,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6938705,-48.33362579,123.0360184,60.96302414,327.2019348,5589.699219,0.34213963,12.62941360,1,
T5_15,667004,669714,5,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6938019,-48.37537766,123.0360184,60.96302414,327.2396545,5590.342285,0.34221840,12.58768559,1,
T6_11,667004,669715,6,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6940002,-48.26418686,123.0360184,60.96302414,327.1390076,5588.623047,0.34200794,12.69890404,1,
T3_14,667005,669712,3,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6939240,-48.32046509,123.0360184,60.96302414,327.1793213,5589.312988,0.34209231,12.64254189,1,
T4_11,667005,669713,4,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6940308,-48.26495743,123.0360184,60.96302414,327.1290894,5588.454590,0.34198728,12.69813633,1,
T1_29,667006,669710,1,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6942444,-48.13900757,123.0360184,60.96302414,327.0271606,5586.714844,0.34177428,12.82396507,1,
T2_25,667006,669711,2,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6940536,-48.23637009,123.0360184,60.96302414,327.1150208,5588.212891,0.34195778,12.72677803,1,
T9_4,667007,669728,9,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50563049,24.80722046,93.70169830,-17.48054314,242.8546295,4249.955566,0.19606601,7.32667732,1,
T10_8,667007,669729,10,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,0.30006239,1.63215601,-0.30000001,-1.63000000,4.16599083,72.90479279,0.00005769,0.00215592,1,
T7_7,667008,669726,7,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50572968,24.70038605,93.70169830,-17.48054123,242.7924805,4248.867188,0.19596562,7.21978569,1,
T8_4,667008,669727,8,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.51589966,24.80922508,93.70169830,-17.48054123,242.8871155,4250.523438,0.18579641,7.32863617,1,
T5_16,667009,669724,5,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50573730,24.70013237,93.70169830,-17.48054123,242.7882080,4248.792480,0.19595870,7.21953058,1,
T6_12,667009,669725,6,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50562286,24.80735207,93.70169830,-17.48054123,242.8568268,4249.994141,0.19606951,7.32680845,1,
T3_15,667010,669722,3,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50575256,24.69960976,93.70169830,-17.48054123,242.7794037,4248.638672,0.19594449,7.21900702,1,
T4_12,667010,669723,4,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50585938,24.59245872,93.70169830,-17.48054123,242.7111206,4247.444336,0.19583434,7.11187792,1,
T1_30,667011,669720,1,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50586700,24.59230995,93.70169830,-17.48054123,242.7085876,4247.399414,0.19583024,7.11172962,1,
T2_26,667011,669721,2,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50586700,24.59230995,93.70169830,-17.48054123,242.7085876,4247.399414,0.19583024,7.11172962,1,
BANK 43,667013,667231,43,100.0000000,230.0000000,138.0000000,418.9554749,1199.884521,835.9027710,698.2590942,1999.807495,1393.171265,-156.8773956,-7.92402029,157.0241699,17.21936226,392.6016846,654.3362427,0.14676854,9.29534054,1,
BANK 42,667014,667231,42,100.0000000,230.0000000,138.0000000,418.9554749,1199.884521,835.9027710,698.2590942,1999.807495,1393.171265,-158.2797089,-7.97333574,158.4290924,17.31044579,396.0973206,660.1622314,0.14939375,9.33711052,1,
