xformer_name,xformer_wind1_bus,xformer_wind2_bus,xformer_id,xformer_basemva,winding1_basekv,winding2_basekv,winding1_rateA,winding1_rateB,winding1_rateC,winding2_rateA,winding2_rateB,winding2_rateC,p_winding1,q_winding1,p_winding2,q_winding2,amp_winding1,amp_winding2,Ploss,Qloss,stat,violate
T9_3,667002,669718,9,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6780777,-55.81939316,123.0360260,69.03237915,334.6764221,5717.387695,0.35794961,13.21300888,1,
T10_7,667002,669719,10,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,0.53015512,2.75561929,-0.52999997,-2.75000000,6.96803665,119.0406723,0.00015517,0.00570079,1,
T7_6,667003,669716,7,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6788406,-55.78538132,123.0360260,69.03237915,334.3185120,5711.276367,0.35718462,13.24688911,1,
T8_3,667003,669717,8,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6787109,-55.84299088,123.0360260,69.03237915,334.3774109,5712.280273,0.35731027,13.18940830,1,
T5_15,667004,669714,5,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6786270,-55.88615036,123.0360260,69.03237915,334.4214478,5713.032227,0.35740435,13.14626503,1,
T6_11,667004,669715,6,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6788788,-55.77119446,123.0360260,69.03237915,334.3038940,5711.023438,0.35715309,13.26124954,1,
T3_14,667005,669712,3,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6787720,-55.82941818,123.0360260,69.03237915,334.3520813,5711.847656,0.35725614,13.20294476,1,
T4_11,667005,669713,4,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6789017,-55.77202988,123.0360260,69.03237915,334.2934570,5710.844727,0.35713074,13.26041794,1,
T1_29,667006,669710,1,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6791534,-55.64179993,123.0360260,69.03237915,334.1730347,5708.790527,0.35687372,13.39052200,1,
T2_25,667006,669711,2,120.0000000,230.0000000,13.80000019,401.6349792,401.6349792,401.6349792,6693.916504,6693.916504,6693.916504,-122.6789322,-55.74243546,123.0360260,69.03237915,334.2757874,5710.541504,0.35709286,13.29006577,1,
T9_4,667007,669728,9,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50615692,24.29300308,93.70170593,-16.98604012,242.5276337,4244.233887,0.19553837,7.30696011,1,
T10_8,667007,669729,10,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,0.30006239,1.63215601,-0.30000001,-1.63000000,4.16598225,72.90464783,0.00005769,0.00215592,1,
T7_7,667008,669726,7,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.50625610,24.18652344,93.70170593,-16.98604012,242.4666748,4243.166504,0.19544004,7.20042229,1,
T8_4,667008,669727,8,100.0000000,230.0000000,13.80000019,326.0773926,326.0773926,374.0225830,5434.623047,5434.623047,6233.709961,-93.51640320,24.29497910,93.70170593,-16.98604202,242.5596619,4244.793457,0.18529579,7.30888987,1,
