branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00679970,33.04057312,-155.3929749,23.25959969,525.4373779,523.6527100,0.82568771,11.02227592,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00679970,33.04057312,-155.3929749,23.25959969,525.4373779,523.6527100,0.82568771,11.02227592,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90188026,32.87810898,-155.3954468,23.24735641,523.5697632,521.7801514,0.82415032,10.98288631,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98371124,32.96058655,-155.3730011,23.26992035,523.5875244,521.7930298,0.81986076,10.98353195,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98611450,-8.90847111,-169.4382324,8.41454506,762.7608643,764.8359985,3.16332793,37.52393723,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91305542,-72.91305542,20.87836647,-159.1216888,2844.010010,2844.010010,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77904510,-86.65213776,13.26597786,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5933228,258.6969604,-93.09770966,93.86045074,-145.9629822,33.98202133,683.0803223,682.8432007,0.10363320,1.04373443,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12819672,93.89102173,-145.9570007,33.98800659,683.1058350,682.8685913,0.10364094,1.04381227,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860596,258.6970520,-93.05996704,93.83200073,-145.9698792,33.97552490,683.0314941,682.7961426,0.11102000,1.05098939,1,
667001:667006:1,667001,667006,1,230.0000000,855.9845581,951.1218262,1183.066040,-258.5938721,258.6974182,-92.84067535,93.60276794,-146.0134583,33.93151855,682.8654175,682.6288452,0.10356808,1.04307866,1,
667012:667001:1,667012,667001,1,230.0000000,1393.924438,1393.924438,1393.924438,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86893523,178.9358063,791.0858154,788.3941650,2.33703113,22.98410606,1,
667012:667001:2,667012,667001,2,230.0000000,1393.924438,1393.924438,1393.924438,308.2662659,-305.9195251,-65.43081665,83.83941650,-1.89343691,178.9114227,791.0541992,788.3571777,2.34672976,22.98211098,1,
667012:667001:3,667012,667001,3,230.0000000,1152.943481,1216.953979,1183.066040,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86893523,178.9358063,791.0858154,788.3941650,2.33703113,22.98410606,1,
L5-1,667007,667108,5,230.0000000,790.7188721,878.0744629,874.0581055,-0.60012478,0.60012800,-3.26431179,3.20434618,-90.32715607,89.48223877,8.33155918,8.18347454,0.00000325,0.00003355,1,
L4-1,667008,667107,4,230.0000000,790.7188721,878.0744629,874.0581055,197.1791534,-197.1674652,6.44007397,-6.38323116,11.92353821,-168.0602570,495.1768799,495.1814270,0.01167410,0.11284962,1,
L3-1,667009,667106,3,230.0000000,790.7188721,878.0744629,874.0581055,197.1684265,-197.1606445,6.44036913,-6.39776278,11.93607616,-168.0515137,495.1730347,495.1765137,0.00778259,0.08560854,1,
L2-1 _1,667010,667105,2,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1605988,6.65364695,-6.62527466,12.00589561,-167.9854584,495.1927185,495.1953125,0.00778320,0.05837400,1,
L1-1 _1,667011,667104,1,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1644745,6.76035213,-6.74332809,12.03912830,-167.9557037,495.2023926,495.2039185,0.00389174,0.03502569,1,
L43R,667012,667013,3,230.0000000,1132.108643,1240.047974,1132.108643,-143.8436432,144.3471375,76.23197174,-74.83992004,162.1680603,-18.94629478,408.6515503,412.8399658,0.50348425,4.96521187,1,
L42R,667012,667014,2,230.0000000,1019.148743,1240.047974,1019.148743,-145.0529175,145.5651550,76.97618866,-75.49929047,162.1362000,-18.96892738,412.2085266,416.4019165,0.51224923,5.05164909,1,
L41R,667012,667015,1,230.0000000,1019.148743,1240.047974,1019.148743,-143.8584137,144.3619080,76.20803070,-74.81590271,162.1779327,-18.93651009,408.6561890,412.8432312,0.50349391,4.96530676,1,
667012:667100:S1,667012,667100,S1,230.0000000,25099.67578,25099.67578,25099.67578,-9.16214085,9.16214085,0.00395978,-0.00312033,-169.9348297,10.06522942,22.99896622,22.99896622,0.00000000,0.00083945,1,
L1-2,667012,667104,1,230.0000000,876.0662842,953.8830566,1018.897766,-197.1605835,197.1644745,-7.10976887,6.74332809,-167.8448334,12.04435349,495.2376404,495.2039185,0.00389202,0.01556807,1,
L2-2,667012,667105,2,230.0000000,1393.924438,1393.924438,1393.924438,-197.1605835,197.1605835,-6.87627411,6.62527466,-167.9125977,12.01460361,495.2168274,495.1952820,0.00000000,0.00000000,1,
L3-2,667012,667106,3,230.0000000,876.0662842,953.8830566,1018.897766,-197.1606903,197.1606903,-6.58876467,6.39776421,-167.9960632,11.94855976,495.1924133,495.1766357,0.00000000,0.00000000,1,
L4-2,667012,667107,4,230.0000000,876.0662842,953.8830566,1018.897766,-197.1635742,197.1674652,-6.74967337,6.38323116,-167.9493866,11.93979549,495.2133484,495.1814270,0.00389165,0.01556660,1,
L5-2,667012,667108,5,230.0000000,876.0662842,953.8830566,1018.897766,0.60012889,-0.60012800,2.63135338,-3.20434618,87.24240875,-90.51782227,6.77487850,8.18347454,0.00000089,0.00000621,1,
R26K,667016,667017,1,230.0000000,664.9569092,664.9569092,925.0155640,-1.31317782,1.31798530,-6.04896832,-19.19510269,-78.15463257,-62.10092163,14.88681984,46.60696411,0.00480745,0.05066382,1,
K24B,667017,669819,1,230.0000000,855.9845581,951.1218262,1263.895142,47.72527313,-47.54053879,-16.00476265,-1.07562244,5.43221617,-152.4158783,121.9354095,114.9047241,0.18473057,1.94496441,1,
P19W-N,667023,667018,1,230.0000000,568.0625000,714.9102783,568.0625000,-31.52523041,31.68734550,-5.71727228,-19.03508949,-141.2809906,-4.63567066,77.21992493,89.32023621,0.16211525,1.16558933,1,
B77W,669819,667018,1,230.0000000,879.0785522,928.0278320,1263.895142,35.63573456,-35.63144684,-4.24373627,3.46183181,19.49689865,-159.1910706,86.71739197,86.50295258,0.00428516,0.04368480,1,
W1,667020,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,-0.20000000,0.20000048,-0.80075896,0.63311607,-77.45876312,99.03345490,1.99215209,1.60256839,0.00000046,0.00000415,1,
W2,667021,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.79992676,-49.79732513,-8.95070362,8.78248024,16.35151482,-163.4374695,122.1293869,122.0493011,0.00260210,0.02105338,1,
W3,667022,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.79992676,-49.79732513,-8.94175529,8.78096771,16.36043358,-163.4357758,122.1259689,122.0486755,0.00260202,0.02199887,1,
W73H,667019,667054,1,230.0000000,1023.918213,1344.975098,1023.918213,55.51518631,-55.09292984,-9.19912148,7.81035185,17.15600014,-157.7188263,135.8225403,135.6941681,0.42225695,3.67799020,1,
W74H,667019,667054,2,230.0000000,1023.918213,1344.975098,1023.918213,55.51518631,-55.09292984,-9.19912148,7.81035185,17.15600014,-157.7188263,135.8225403,135.6941681,0.42225695,3.67799020,1,
W76B,667019,669819,1,230.0000000,855.9845581,951.1218262,1084.916504,-11.89764118,11.90480518,-0.06053671,-8.52043629,-153.1438446,-9.30376720,28.71735573,35.37497711,0.00716341,0.06218138,1,
P19W-S,669820,667023,1,230.0000000,568.0625000,714.9102783,568.0625000,-30.50748634,30.53179741,-9.54273033,5.65527582,-133.8934784,38.93361664,77.20182037,74.83788300,0.02430893,0.17409217,1,
J2LD,667026,667024,Z2,230.0000000,775.9085693,903.9297485,775.9085693,1.80098820,-1.80098605,2.93373394,-2.96183991,85.95430756,-93.80258179,8.30890274,8.36682320,0.00000221,0.00001545,1,
J1LD,667026,667025,Z1,230.0000000,775.9085693,903.9297485,775.9085693,-42.95403671,42.95438385,6.56479359,-6.59047079,-161.1898956,18.77350807,104.8807526,104.8910141,0.00034917,0.00244422,1,
J30P,667026,669820,1,230.0000000,775.9085693,903.9297485,775.9085693,31.47857475,-31.39753914,-10.11781406,-4.43304968,9.68120766,-143.2266235,79.80715942,76.58305359,0.08103653,0.67714822,1,
G8P-S,667028,667027,1,230.0000000,568.0625000,714.9102783,568.0625000,-8.81245613,8.83465576,22.77651405,4.20583487,140.6300812,54.62422562,59.51870346,23.61119843,0.02219963,0.16692214,1,
G8P-N,667027,669820,1,230.0000000,568.0625000,714.9102783,568.0625000,-8.92074585,8.92991161,-6.32235861,-10.83091164,-115.5069656,-21.75807571,26.38451958,33.90324402,0.00916641,0.06896368,1,
G1A,667028,667029,1,230.0000000,879.0785522,928.0278320,1021.910034,3.90987849,-3.89227057,-39.02990723,-20.12753677,-54.80132294,-71.03832245,95.59604645,49.24642181,0.01760791,0.17161426,1,
G2A,667028,667029,2,230.0000000,879.0785522,928.0278320,1021.910034,3.90987849,-3.89227057,-39.02990723,-20.12753677,-54.80132294,-71.03832245,95.59604645,49.24642181,0.01760791,0.17161426,1,
G9F,667028,667060,1,230.0000000,480.9578857,647.8874512,480.9578857,81.19824219,-80.06018066,-18.87187958,0.53882003,16.39385986,-144.8992157,203.1630249,195.4128265,1.13806105,8.44837093,1,
G31V,667028,667062,1,230.0000000,645.8792114,714.9102783,711.8980103,95.37008667,-93.01493835,-27.31573486,-1.19755268,13.49541664,-137.7191620,241.7725677,225.6894073,2.35514593,19.96809959,1,
U91A-N,667029,667030,1,230.0000000,1039.983643,1199.884521,1039.983643,-88.11905670,88.37421417,52.61959839,-7.96841288,179.0633392,23.15914917,246.5495148,212.7398682,0.25516042,2.45110798,1,
A4D,667029,667035,1,230.0000000,1179.049683,1199.884521,1179.049683,-106.6443481,107.9387512,-3.18944740,-25.12118149,-148.3805084,10.07074356,256.2971191,266.2115784,1.29441214,12.62452793,1,
A6V,667029,667062,1,230.0000000,711.8980103,829.8782959,711.8980103,183.5319977,-178.4966431,-10.27461243,21.57824326,26.70226479,-145.3497620,441.5735779,436.2173767,5.03534842,36.73151016,1,
667030:667031:1,667030,667031,1,230.0000000,562.0379639,706.1245117,562.0379639,-17.01003838,17.03726578,3.30527115,-15.01437283,-162.6849518,-13.62427902,41.54494858,54.63927460,0.02722738,0.19511242,1,
667030:667080:1,667030,667080,1,230.0000000,1039.983643,1308.074829,1039.983643,-71.36416626,71.81599426,4.66313934,-31.53159714,-155.4272308,1.24715793,171.4629974,189.6743622,0.45182770,4.35644293,1,
667038:667031:1,667038,667031,1,230.0000000,1084.916504,1178.045654,1084.916504,64.63270569,-64.18540192,-22.93787766,4.26398754,4.87189198,-156.0363770,165.9177704,154.7743378,0.44730687,3.84499550,1,
667035:667033:Z1,667035,667033,Z1,230.0000000,2229.074219,2229.074219,0.00000000,2.73333359,-2.73333311,0.55215371,-0.61766666,34.59276962,-144.0940247,6.69842625,6.73135900,0.00000043,0.00000851,1,
667035:667033:Z2,667035,667033,Z2,230.0000000,2229.074219,2229.074219,0.00000000,2.73333359,-2.73333311,0.55215371,-0.61766666,34.59276962,-144.0940247,6.69842625,6.73135900,0.00000043,0.00000851,1,
667033:667035:Z3,667033,667035,Z3,230.0000000,2229.074219,2229.074219,0.00000000,-2.73333311,2.73333359,-0.61766666,0.55215371,-144.0940247,34.59276962,6.73135900,6.69842625,0.00000043,0.00000851,1,
667035:667038:1,667035,667038,1,230.0000000,1179.049683,1245.068481,1263.895142,133.6359253,-133.3322449,29.44689941,-30.15829277,35.59892273,-142.8433838,328.7106628,330.7126160,0.30367944,3.09891081,1,
667035:667038:2,667035,667038,2,230.0000000,1179.049683,1245.068481,1263.895142,129.9283600,-129.6472015,29.27495575,-29.98295212,35.86990738,-142.5669708,319.9280090,321.9273376,0.28117526,3.01773000,1,
667035:667038:3,667035,667038,3,230.0000000,1179.049683,1245.068481,1263.895142,136.0511017,-135.7434235,30.05667305,-30.76467896,35.63008118,-142.8188934,334.6915283,336.7258301,0.30767196,3.15542626,1,
667035:667039:1,667035,667039,1,230.0000000,1152.943481,1216.953979,1263.895142,52.14685822,-52.07069016,1.70845199,-7.65624189,25.04875565,-147.6023407,125.3303070,126.7813034,0.07617007,0.79614073,1,
667035:667043:1,667035,667043,1,230.0000000,1263.895142,1373.089600,1263.895142,43.79512787,-43.71327209,-5.82283354,-3.92707133,15.59886837,-150.5575714,106.1270065,105.5798721,0.08185838,0.86671513,1,
