branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680733,33.04058456,-155.3929596,23.25960350,525.4374390,523.6527710,0.82568771,11.02227592,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680733,33.04058456,-155.3929596,23.25960350,525.4374390,523.6527710,0.82568771,11.02227592,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90189171,32.87812042,-155.3954315,23.24736023,523.5697632,521.7802124,0.82415032,10.98288631,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98372078,32.96059799,-155.3729858,23.26992416,523.5875854,521.7930908,0.81986076,10.98353195,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98610687,-8.90846443,-169.4382172,8.41454697,762.7609253,764.8359985,3.16332793,37.52393723,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91311646,-72.91311646,20.87837410,-159.1216888,2844.010010,2844.010010,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77904510,-86.65213776,13.26597881,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5933228,258.6969604,-93.09772491,93.86046600,-145.9629822,33.98202133,683.0803833,682.8432007,0.10363321,1.04373455,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12821198,93.89102936,-145.9570007,33.98801041,683.1058960,682.8686523,0.10364094,1.04381239,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860596,258.6970520,-93.05998993,93.83201599,-145.9698639,33.97552872,683.0316162,682.7962036,0.11102001,1.05098939,1,
667001:667006:1,667001,667006,1,230.0000000,855.9845581,951.1218262,1183.066040,-258.5938721,258.6974487,-92.84068298,93.60277557,-146.0134583,33.93151855,682.8654785,682.6289673,0.10356810,1.04307878,1,
667012:667001:1,667012,667001,1,230.0000000,1393.924438,1393.924438,1393.924438,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86893463,178.9358063,791.0858154,788.3941650,2.33703113,22.98410606,1,
667012:667001:2,667012,667001,2,230.0000000,1393.924438,1393.924438,1393.924438,308.2662659,-305.9195251,-65.43081665,83.83941650,-1.89343607,178.9114227,791.0541992,788.3572388,2.34672976,22.98211098,1,
667012:667001:3,667012,667001,3,230.0000000,1152.943481,1216.953979,1183.066040,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86893463,178.9358063,791.0858154,788.3941650,2.33703113,22.98410606,1,
L5-1,667007,667108,5,230.0000000,790.7188721,878.0744629,874.0581055,-0.60012478,0.60012800,-3.26431179,3.20434618,-90.32715607,89.48223877,8.33155918,8.18347454,0.00000325,0.00003355,1,
L4-1,667008,667107,4,230.0000000,790.7188721,878.0744629,874.0581055,197.1791382,-197.1674652,6.44000912,-6.38316584,11.92352009,-168.0602722,495.1768494,495.1814270,0.01167410,0.11284960,1,
L3-1,667009,667106,3,230.0000000,790.7188721,878.0744629,874.0581055,197.1684113,-197.1606445,6.44030428,-6.39769793,11.93605804,-168.0515137,495.1730042,495.1765137,0.00778259,0.08560854,1,
L2-1 _1,667010,667105,2,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1605835,6.65358067,-6.62520885,12.00587654,-167.9854736,495.1926880,495.1952820,0.00778320,0.05837399,1,
L1-1 _1,667011,667104,1,230.0000000,790.7188721,878.0744629,874.0581055,197.1683655,-197.1644745,6.76028824,-6.74326324,12.03911114,-167.9557190,495.2023315,495.2039490,0.00389174,0.03502569,1,
L43R,667012,667013,3,230.0000000,1132.108643,1240.047974,1132.108643,-143.8430023,144.3464813,76.23188782,-74.83987427,162.1679840,-18.94637680,408.6500244,412.8384399,0.50348049,4.96517467,1,
L42R,667012,667014,2,230.0000000,1019.148743,1240.047974,1019.148743,-145.0522614,145.5644989,76.97610474,-75.49924469,162.1361084,-18.96900940,412.2070007,416.4002991,0.51224536,5.05161047,1,
L41R,667012,667015,1,230.0000000,1019.148743,1240.047974,1019.148743,-143.8577576,144.3612518,76.20794678,-74.81585693,162.1778564,-18.93659210,408.6546631,412.8417053,0.50349009,4.96526957,1,
667012:667100:S1,667012,667100,S1,230.0000000,25099.67578,25099.67578,25099.67578,-9.16414833,9.16414833,0.00395997,-0.00312015,-169.9348297,10.06523514,23.00400734,23.00400543,0.00000000,0.00083982,1,
L1-2,667012,667104,1,230.0000000,876.0662842,953.8830566,1018.897766,-197.1605682,197.1644592,-7.10970449,6.74326420,-167.8448486,12.04433727,495.2375488,495.2039185,0.00389202,0.01556806,1,
L2-2,667012,667105,2,230.0000000,1393.924438,1393.924438,1393.924438,-197.1605835,197.1605835,-6.87621307,6.62521362,-167.9126282,12.01458740,495.2168274,495.1952820,0.00000000,0.00000000,1,
L3-2,667012,667106,3,230.0000000,876.0662842,953.8830566,1018.897766,-197.1606598,197.1606598,-6.58870268,6.39770269,-167.9960785,11.94854355,495.1923828,495.1765747,0.00000000,0.00000000,1,
L4-2,667012,667107,4,230.0000000,876.0662842,953.8830566,1018.897766,-197.1635590,197.1674500,-6.74960756,6.38316584,-167.9494019,11.93977737,495.2132874,495.1813965,0.00389165,0.01556659,1,
L5-2,667012,667108,5,230.0000000,876.0662842,953.8830566,1018.897766,0.60012889,-0.60012800,2.63135338,-3.20434618,87.24240875,-90.51782227,6.77487850,8.18347454,0.00000089,0.00000621,1,
R26K,667016,667017,1,230.0000000,664.9569092,664.9569092,925.0155640,-1.31187570,1.31668234,-6.04929781,-19.19477654,-48.09099197,-32.05342865,14.88693333,46.60595703,0.00480664,0.05065522,1,
K24B,667017,669819,1,230.0000000,855.9845581,951.1218262,1263.895142,47.74046707,-47.55561829,-16.00558853,-1.07356977,35.48811722,-122.3667221,121.9709320,114.9410324,0.18484691,1.94618905,1,
P19W-N,667023,667018,1,230.0000000,568.0625000,714.9102783,568.0625000,-30.20827103,30.35427666,-7.83266592,-16.97634506,-107.0741577,27.19018173,75.38113403,84.04312897,0.14600529,1.04976070,1,
B77W,669819,667018,1,230.0000000,879.0785522,928.0278320,1263.895142,34.31740952,-34.31346893,-2.23027158,1.44489682,52.62171173,-126.0039749,83.09834290,82.99167633,0.00393959,0.04016189,1,
W1,667020,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,-0.19999999,0.20000045,-0.80075896,0.63311607,-47.37658691,129.1156311,1.99215186,1.60256839,0.00000046,0.00000415,1,
W2,667021,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.79993057,-49.79739761,-3.47967076,3.31088710,52.62625504,-127.1570358,120.4909592,120.4598846,0.00253376,0.02050044,1,
W3,667022,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.79993820,-49.79740143,-3.47104287,3.30966997,52.63507843,-127.1556396,120.4896622,120.4596863,0.00253373,0.02142154,1,
W73H,667019,667054,1,230.0000000,1023.918213,1344.975098,1023.918213,56.18116379,-55.73883820,-3.80800676,2.48720980,52.76923752,-122.0945511,135.9139557,136.9567566,0.44232848,3.85281968,1,
W74H,667019,667054,2,230.0000000,1023.918213,1344.975098,1023.918213,56.18116379,-55.73883820,-3.80800676,2.48720980,52.76923752,-122.0945511,135.9139557,136.9567566,0.44232848,3.85281968,1,
W76B,667019,669819,1,230.0000000,855.9845581,951.1218262,1084.916504,-13.22947407,13.23820019,0.09976737,-8.66717243,-123.7852859,23.12695312,31.93250084,38.23434067,0.00872650,0.07574963,1,
P19W-S,669820,667023,1,230.0000000,568.0625000,714.9102783,568.0625000,-29.19145203,29.21483803,-11.64530945,7.77064419,-99.57958984,73.28469086,76.10112000,73.02213287,0.02338625,0.16748422,1,
J2LD,667026,667024,Z2,230.0000000,775.9085693,903.9297485,775.9085693,1.80098820,-1.80098605,2.93373394,-2.96183991,115.9036484,-63.85322571,8.30890179,8.36682320,0.00000221,0.00001545,1,
J1LD,667026,667025,Z1,230.0000000,775.9085693,903.9297485,775.9085693,-42.95756912,42.95791245,2.79775858,-2.82348132,-126.2774277,53.68529129,103.9050903,103.9095230,0.00034269,0.00239882,1,
J30P,667026,669820,1,230.0000000,775.9085693,903.9297485,775.9085693,31.48208809,-31.40141106,-6.35094357,-8.16392040,46.04364014,-106.7546234,77.51815796,78.56309509,0.08067761,0.67414910,1,
G8P-S,667028,667027,1,230.0000000,568.0625000,714.9102783,568.0625000,-1.54446447,1.55759037,23.40550041,3.52776051,152.5444031,124.9446640,57.16569901,9.31689548,0.01312589,0.09869540,1,
G8P-N,667027,669820,1,230.0000000,568.0625000,714.9102783,568.0625000,-1.64368677,1.64492369,-5.64434004,-11.50357914,-47.46886063,-23.19035149,14.20322990,28.13810539,0.00123713,0.00930761,1,
G1A,667028,667029,1,230.0000000,879.0785522,928.0278320,1021.910034,-29.52641296,29.69743538,-14.80797100,-41.04600525,-94.59649658,1.86651611,80.50138092,125.5327225,0.17102468,1.66687989,1,
G2A,667028,667029,2,230.0000000,879.0785522,928.0278320,1021.910034,-29.52641296,29.69743538,-14.80797100,-41.04600525,-94.59649658,1.86651611,80.50138092,125.5327225,0.17102468,1.66687989,1,
G9F,667028,667060,1,230.0000000,480.9578857,647.8874512,480.9578857,107.5510712,-105.5352325,-0.60404092,-10.57985020,58.44726562,-107.5443573,262.1172791,265.2325745,2.01584196,14.96455860,1,
G31V,667028,667062,1,230.0000000,645.8792114,714.9102783,711.8980103,128.6573792,-124.0076294,13.60897827,-18.96440697,64.80718231,-95.41033173,315.3006897,330.5321960,4.64974308,39.42283630,1,
U91A-N,667029,667030,1,230.0000000,1039.983643,1199.884521,1039.983643,-179.3948364,180.5180664,41.23252487,9.13363552,-136.9640503,55.47134399,456.0967102,443.6602783,1.12321496,10.78976631,1,
A4D,667029,667035,1,230.0000000,1179.049683,1199.884521,1179.049683,-183.4921570,187.4782867,-8.59231949,7.76417542,-121.3388443,46.46770096,455.1572571,450.7317200,3.98613763,38.87718964,1,
A6V,667029,667062,1,230.0000000,711.8980103,829.8782959,711.8980103,284.4939575,-271.0352478,48.77440643,26.66120148,65.70856476,-109.7231827,715.2072754,717.5665283,13.45869923,98.17758942,1,
667030:667031:1,667030,667031,1,230.0000000,562.0379639,706.1245117,562.0379639,-53.80628586,54.02688980,-3.05130315,-6.80080795,-124.1795197,43.71439362,132.2832642,133.2483978,0.22060247,1.58084536,1,
667030:667080:1,667030,667080,1,230.0000000,1039.983643,1308.074829,1039.983643,-126.7116165,128.0986176,-6.08233452,-10.86490059,-124.6770630,41.70894623,311.3800964,312.7278137,1.38700032,13.37321377,1,
667038:667031:1,667038,667031,1,230.0000000,1084.916504,1178.045654,1084.916504,102.2666550,-101.1758957,-8.72982216,-3.97503448,40.72119522,-126.8612061,249.0003052,247.7708435,1.09075820,9.37602520,1,
667035:667033:Z1,667035,667033,Z1,230.0000000,2229.074219,2229.074219,0.00000000,2.73333359,-2.73333311,0.55215371,-0.61766666,55.51671600,-123.1700897,6.69842625,6.73135900,0.00000043,0.00000851,1,
667035:667033:Z2,667035,667033,Z2,230.0000000,2229.074219,2229.074219,0.00000000,2.73333359,-2.73333311,0.55215371,-0.61766666,55.51671600,-123.1700897,6.69842625,6.73135900,0.00000043,0.00000851,1,
667033:667035:Z3,667033,667035,Z3,230.0000000,2229.074219,2229.074219,0.00000000,-2.73333311,2.73333359,-0.61766666,0.55215371,-123.1700897,55.51671600,6.73135900,6.69842625,0.00000043,0.00000851,1,
667035:667038:1,667035,667038,1,230.0000000,1179.049683,1245.068481,1263.895142,162.5338135,-162.0739746,44.05273819,-43.16025162,59.26119232,-119.4879456,404.5124512,406.8929443,0.45982349,4.69228983,1,
667035:667038:2,667035,667038,2,230.0000000,1179.049683,1245.068481,1263.895142,157.9881287,-157.5623932,43.62589264,-42.77198410,59.53287125,-119.2121811,393.7096558,396.0786743,0.42574826,4.56936789,1,
667035:667038:3,667035,667038,3,230.0000000,1179.049683,1245.068481,1263.895142,165.4673767,-165.0015106,44.94244766,-44.01737595,59.29170227,-119.4628067,411.8730774,414.2910461,0.46586883,4.77786446,1,
667035:667039:1,667035,667039,1,230.0000000,1152.943481,1216.953979,1263.895142,36.47835159,-36.43952942,4.90020752,-11.23463058,51.74708176,-118.1738586,88.41251373,91.90674591,0.03882463,0.40580067,1,
667035:667043:1,667035,667043,1,230.0000000,1263.895142,1373.089600,1263.895142,30.94797707,-30.90704918,-4.15754032,-6.02250767,36.44494247,-124.0776672,75.00863647,75.77121735,0.04092852,0.43335041,1,
667035:667047:1,667035,667047,1,230.0000000,1263.895142,1331.921997,1263.895142,124.9770660,-124.6367188,5.24974155,-7.09898758,46.50156021,-131.0516968,300.4748535,301.1109009,0.34034744,3.49394631,1,
667035:667047:2,667035,667047,2,230.0000000,1263.895142,1331.921997,1263.895142,120.6269379,-120.3097229,5.45224333,-7.28098154,46.68419266,-130.8483582,290.0564270,290.7178955,0.31720576,3.37415934,1,
667035:667047:3,667035,667047,3,230.0000000,1263.895142,1331.921997,1263.895142,124.9275894,-124.5889282,5.29825783,-7.15733671,46.52472305,-131.0236969,300.3610840,301.0039062,0.33866236,3.49281430,1,
D14S,667035,667050,1,230.0000000,775.9085693,903.9297485,775.9085693,200.2242279,-194.7747345,39.58890533,-17.46566391,55.28065872,-117.8697357,490.2743225,498.9634399,5.44949913,46.43647766,1,
D12P,667035,667053,1,230.0000000,711.8980103,829.8782959,711.8980103,209.6876831,-205.9226990,59.35013199,-44.87826157,59.89990616,-116.8599014,523.4827271,530.9906616,3.76500297,27.00095558,1,
D54N,667035,667071,1,230.0000000,1032.954956,1111.022827,1084.916504,222.8402863,-212.9879303,88.31466675,-31.76919174,65.71533966,-107.3407974,575.7945557,595.8663330,9.85236549,85.80394745,1,
D83W,667035,667109,1,230.0000000,1084.916504,1178.045654,1084.916504,162.1522827,-159.3765411,49.46659851,-43.32879639,61.06122208,-113.1620407,407.2309570,419.3404846,2.77574468,23.75835800,1,
667038:667039:1,667038,667039,1,230.0000000,1263.895142,1373.089600,1263.895142,-119.1505280,119.3564987,-36.58369064,35.47473526,-117.3312683,61.24403763,302.3764038,300.1129456,0.20595926,2.12728572,1,
667080:667038:1,667080,667038,1,230.0000000,1039.983643,1199.884521,1039.983643,-203.1629333,203.5165253,-11.64477253,11.96587181,-130.1626129,48.96519089,495.0194397,494.5820007,0.35359815,3.42718220,1,
667039:667041:1,667039,667041,1,230.0000000,1029.942749,1177.041504,1029.942749,-102.1120529,102.2148514,-23.65200233,22.44707870,-122.2675323,56.47799683,252.6284943,251.3834686,0.10280176,1.14593732,1,
667039:667044:2,667039,667044,2,230.0000000,1152.943481,1216.953979,1263.895142,-75.97512054,76.00929260,-18.10192299,17.13925171,-121.9073486,57.13979721,188.2426758,187.5181427,0.03417100,0.36915889,1,
667039:667045:1,667039,667045,1,230.0000000,1298.033936,1410.993896,1298.033936,-81.72971344,81.76731110,-19.47483063,18.48450279,-121.9061432,57.16628647,202.5018005,201.7420197,0.03760288,0.40455508,1,
667041:667043:1,667041,667043,1,230.0000000,1263.895142,1373.089600,1263.895142,215.5874481,-215.3061371,7.59140253,-5.99985218,46.10876465,-133.5078583,518.1882935,518.2977295,0.28132206,3.03486824,1,
667043:667041:2,667043,667041,2,230.0000000,1298.033936,1410.993896,1298.033936,-227.4329834,227.7326050,-6.15551138,7.85121155,-133.5537415,46.06658936,547.4781494,547.3664551,0.29962528,3.20551467,1,
667044:667041:2,667044,667041,2,230.0000000,1263.895142,1373.089600,1263.895142,-140.9843445,141.0683289,-30.25961494,30.20424461,-123.4536362,56.17723846,347.0225830,346.5436096,0.08397505,0.89509773,1,
667045:667041:1,667045,667041,1,230.0000000,1298.033936,1410.993896,1298.033936,-146.8057098,146.8905792,-31.62800598,31.55186081,-123.4140320,56.21490860,361.4004517,360.8972168,0.08486681,0.91904551,1,
667041:667046:1,667041,667046,1,230.0000000,840.9232178,928.0278320,840.9232178,102.3528442,-101.7773895,15.78086948,-20.95212555,52.85697174,-121.7291107,248.7691650,253.0413361,0.57545632,4.78847551,1,
667041:667076:1,667041,667076,1,230.0000000,2229.074219,2229.074219,2229.074219,-0.00000000,0.00000000,0.00000000,-0.00000000,-141.3402405,38.65982056,0.00000000,0.00000000,0.00000000,0.00000000,1,
667041:667679:Z1,667041,667679,Z1,230.0000000,5020.437500,5020.437500,5020.437500,-1078.857910,1078.857910,246.3139801,-246.3139801,-148.7687683,31.23129654,2658.232910,2658.232910,0.00000000,0.00000000,1,
667047:667043:1,667047,667043,1,230.0000000,1298.033936,1410.993896,1298.033936,-45.18220901,45.23979568,-6.81746578,0.23586228,-125.7310638,45.19469452,110.2130585,108.8631516,0.05758882,0.63366640,1,
667082:667043:1,667082,667043,1,230.0000000,1298.033936,1410.993896,1298.033936,-146.3478394,147.0541077,-24.33810043,23.82717705,-122.7899857,54.09963608,361.6881104,358.4750061,0.70626801,7.67011118,1,
602013:667046:1,602013,667046,1,230.0000000,577.3502808,577.3502808,577.3502808,-68.24317169,68.82025909,4.97815323,9.25250912,-133.5234528,54.29561615,165.6708221,169.0960693,0.57709438,4.87841654,1,
667047:667048:1,667047,667048,1,230.0000000,1053.036743,1142.902588,1053.036743,113.0067673,-111.9404449,6.00601339,-12.69546413,48.73072052,-123.4632645,272.9569397,276.0851746,1.06632864,8.74844265,1,
667048:657752:1,667048,657752,1,230.0000000,1199.884521,1199.884521,1199.884521,-35.83026123,35.91922379,1.67939734,-12.71625137,-132.6172180,29.43121719,87.90373993,93.52056122,0.08896295,0.72474128,1,
667049:667048:1,667049,667048,1,230.0000000,1053.036743,1142.902588,1053.036743,-141.7042542,143.1810455,-30.75406837,31.16527176,-113.1447067,62.34603500,365.3175659,359.1021118,1.47678411,12.16261196,1,
667048:667077:1,667048,667077,1,230.0000000,988.0220337,988.0220337,988.0220337,-21.34543228,21.35037613,-37.92401505,36.88648224,-69.30653381,109.9730759,106.6484680,104.3246765,0.00494447,0.05491892,1,
667048:667082:1,667048,667082,1,230.0000000,1298.033936,1410.993896,1298.033936,-60.74253845,60.96837616,-8.52268887,-4.08716011,-121.9467468,43.93279648,150.3166656,148.9711761,0.22583175,2.45319390,1,
S94E,667050,667049,1,230.0000000,1032.954956,1111.022827,1053.036743,-80.02587128,80.45525360,-17.27248192,10.71701431,-110.8141403,62.19775391,208.8885803,204.4874878,0.42938647,3.53397250,1,
B78S,667050,667051,1,230.0000000,484.9742432,484.9742432,1084.916504,-19.95863724,19.96381569,-34.43498993,33.96049881,-63.09051514,116.5321503,101.5524597,100.4129639,0.00517869,0.04288602,1,
