branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00689507,33.04067230,-155.3929596,23.25961685,525.4374390,523.6527710,0.82568777,11.02227688,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00689507,33.04067230,-155.3929596,23.25961685,525.4374390,523.6527710,0.82568777,11.02227688,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90197563,32.87820816,-155.3954315,23.24737167,523.5698242,521.7802124,0.82415044,10.98288822,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98380661,32.96068573,-155.3729706,23.26993752,523.5875854,521.7930908,0.81986094,10.98353386,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98605347,-8.90841103,-169.4382324,8.41454506,762.7609253,764.8359985,3.16332793,37.52393723,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91342163,-72.91342163,20.87837410,-159.1216888,2844.010498,2844.010498,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77902985,-86.65215302,13.26597786,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5933228,258.6969299,-93.09767151,93.86042023,-145.9630127,33.98200226,683.0803223,682.8430786,0.10363319,1.04373419,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12816620,93.89099121,-145.9570312,33.98798752,683.1057739,682.8685303,0.10364093,1.04381216,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860291,258.6970520,-93.05993652,93.83197021,-145.9698944,33.97550583,683.0314331,682.7960815,0.11101998,1.05098915,1,
667001:667006:1,667001,667006,1,230.0000000,855.9845581,951.1218262,1183.066040,-258.5938416,258.6974182,-92.84063721,93.60272980,-146.0134735,33.93149948,682.8654175,682.6287842,0.10356806,1.04307842,1,
667012:667001:1,667012,667001,1,230.0000000,1393.924438,1393.924438,1393.924438,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894679,178.9357910,791.0858765,788.3942261,2.33703089,22.98410416,1,
667012:667001:2,667012,667001,2,230.0000000,1393.924438,1393.924438,1393.924438,308.2662659,-305.9195251,-65.43081665,83.83941650,-1.89344859,178.9114227,791.0541382,788.3572388,2.34672952,22.98210716,1,
667012:667001:3,667012,667001,3,230.0000000,1152.943481,1216.953979,1183.066040,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894679,178.9357910,791.0858765,788.3942261,2.33703089,22.98410416,1,
L5-1,667007,667108,5,230.0000000,790.7188721,878.0744629,874.0581055,-0.60012478,0.60012800,-3.26431179,3.20434618,-90.32717133,89.48222351,8.33155823,8.18347359,0.00000325,0.00003355,1,
L4-1,667008,667107,4,230.0000000,790.7188721,878.0744629,874.0581055,197.1791229,-197.1674500,6.44068289,-6.38383913,11.92370415,-168.0601044,495.1768494,495.1814270,0.01167410,0.11284962,1,
L3-1,667009,667106,3,230.0000000,790.7188721,878.0744629,874.0581055,197.1684113,-197.1606293,6.44097614,-6.39837074,11.93624306,-168.0513458,495.1730347,495.1765747,0.00778260,0.08560855,1,
L2-1 _1,667010,667105,2,230.0000000,790.7188721,878.0744629,874.0581055,197.1683655,-197.1605835,6.65425444,-6.62588263,12.00606155,-167.9852905,495.1927185,495.1953125,0.00778320,0.05837400,1,
L1-1 _1,667011,667104,1,230.0000000,790.7188721,878.0744629,874.0581055,197.1683502,-197.1644592,6.76096058,-6.74393606,12.03929520,-167.9555359,495.2023926,495.2039490,0.00389174,0.03502569,1,
L43R,667012,667013,3,230.0000000,1132.108643,1240.047974,1132.108643,-143.8501129,144.3536224,76.23278809,-74.84037018,162.1688538,-18.94546318,408.6668701,412.8551636,0.50352156,4.96557951,1,
L42R,667012,667014,2,230.0000000,1019.148743,1240.047974,1019.148743,-145.0594330,145.5717163,76.97701263,-75.49974823,162.1369934,-18.96809769,412.2239685,416.4171753,0.51228714,5.05202341,1,
L41R,667012,667015,1,230.0000000,1019.148743,1240.047974,1019.148743,-143.8648834,144.3684082,76.20884705,-74.81635284,162.1787415,-18.93567657,408.6714783,412.8583984,0.50353128,4.96567535,1,
667012:667100:S1,667012,667100,S1,230.0000000,25099.67578,25099.67578,25099.67578,-9.14278889,9.14278889,0.00395801,-0.00312211,-169.9348907,10.06517696,22.95038605,22.95038605,0.00000000,0.00083591,1,
L1-2,667012,667104,1,230.0000000,876.0662842,953.8830566,1018.897766,-197.1605377,197.1644440,-7.11037731,6.74393702,-167.8446655,12.04452038,495.2375488,495.2038574,0.00389202,0.01556806,1,
L2-2,667012,667105,2,230.0000000,1393.924438,1393.924438,1393.924438,-197.1605835,197.1605835,-6.87691402,6.62591457,-167.9124298,12.01477814,495.2168884,495.1953125,0.00000000,0.00000000,1,
L3-2,667012,667106,3,230.0000000,876.0662842,953.8830566,1018.897766,-197.1606598,197.1606598,-6.58940458,6.39840460,-167.9958801,11.94873428,495.1923828,495.1766357,0.00000000,0.00000000,1,
L4-2,667012,667107,4,230.0000000,876.0662842,953.8830566,1018.897766,-197.1635284,197.1674347,-6.75028133,6.38383913,-167.9492188,11.93996143,495.2132568,495.1813660,0.00389165,0.01556659,1,
L5-2,667012,667108,5,230.0000000,876.0662842,953.8830566,1018.897766,0.60012889,-0.60012800,2.63135338,-3.20434618,87.24239349,-90.51783752,6.77487803,8.18347359,0.00000089,0.00000621,1,
R26K,667016,667017,1,230.0000000,664.9569092,664.9569092,925.0155640,-1.31871247,1.32352352,-6.04756451,-19.19649315,-83.70450592,-67.58216095,14.88633537,46.61124802,0.00481093,0.05070043,1,
K24B,667017,669819,1,230.0000000,855.9845581,951.1218262,1263.895142,47.66069031,-47.47645187,-16.00124550,-1.08434033,-0.08479539,-157.9041290,121.7843933,114.7503815,0.18423645,1.93976188,1,
P19W-N,667023,667018,1,230.0000000,568.0625000,714.9102783,568.0625000,-37.06130600,37.28428650,-4.88441086,-19.42529106,-149.1797180,-6.65116358,90.11278534,101.5861740,0.22297679,1.60317659,1,
B77W,669819,667018,1,230.0000000,879.0785522,928.0278320,1263.895142,41.17100143,-41.16529083,-4.61028528,3.84294343,14.39824677,-164.4648285,100.1059723,99.90225220,0.00571319,0.05824282,1,
W1,667020,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,-0.19999999,0.20000045,-0.80075896,0.63311607,-83.08590698,93.40631104,1.99215186,1.60256839,0.00000046,0.00000415,1,
W2,667021,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.80000687,-49.79739761,-9.23723030,9.06905079,10.40535355,-169.3840485,122.2541122,122.1715164,0.00260737,0.02109598,1,
W3,667022,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.80000687,-49.79739761,-9.22826099,9.06751823,10.41427517,-169.3823395,122.2505722,122.1708450,0.00260728,0.02204336,1,
W73H,667019,667054,1,230.0000000,1023.918213,1344.975098,1023.918213,52.71790695,-52.33686066,-9.15278244,7.40692329,11.08813381,-163.5257111,129.1471863,128.8870850,0.38104880,3.31905413,1,
W74H,667019,667054,2,230.0000000,1023.918213,1344.975098,1023.918213,52.71790695,-52.33686066,-9.15278244,7.40692329,11.08813381,-163.5257111,129.1471863,128.8870850,0.38104880,3.31905413,1,
W76B,667019,669819,1,230.0000000,855.9845581,951.1218262,1084.916504,-6.30308914,6.30545187,-0.72615218,-7.89649343,-152.4906921,-30.60464668,15.31420803,24.41764832,0.00236270,0.02050924,1,
P19W-S,669820,667023,1,230.0000000,568.0625000,714.9102783,568.0625000,-36.03480911,36.06787491,-8.64568138,4.82241249,-142.8417358,30.92794991,89.51629639,87.71917725,0.03306520,0.23680151,1,
J2LD,667026,667024,Z2,230.0000000,775.9085693,903.9297485,775.9085693,1.80098820,-1.80098605,2.93373394,-2.96183991,80.88495636,-98.87192535,8.30890179,8.36682320,0.00000221,0.00001545,1,
J1LD,667026,667025,Z1,230.0000000,775.9085693,903.9297485,775.9085693,-42.95442200,42.95476913,6.30935335,-6.33503485,-165.9259338,14.03741264,104.7902832,104.8001709,0.00034857,0.00243999,1,
J30P,667026,669820,1,230.0000000,775.9085693,903.9297485,775.9085693,31.47890282,-31.39796257,-9.86236477,-4.68665886,5.03444004,-147.8438110,79.62141418,76.68544769,0.08093976,0.67633957,1,
G8P-S,667028,667027,1,230.0000000,568.0625000,714.9102783,568.0625000,-37.66799927,37.81609344,27.76703453,0.16982183,170.6613770,25.73112488,114.0472641,91.29963684,0.14809534,1.11354971,1,
G8P-N,667027,669820,1,230.0000000,568.0625000,714.9102783,568.0625000,-37.90218353,38.06185150,-2.28636932,-13.72298908,-151.0741577,3.84010696,91.67288208,97.73589325,0.15966885,1.20127261,1,
G1A,667028,667029,1,230.0000000,879.0785522,928.0278320,1021.910034,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,
G2A,667028,667029,2,230.0000000,879.0785522,928.0278320,1021.910034,48.03234482,-47.62149048,-46.18981934,-9.54723930,-16.82254410,-137.2934113,162.4034271,115.8820419,0.41085666,4.00438499,1,
G9F,667028,667060,1,230.0000000,480.9578857,647.8874512,480.9578857,51.25724030,-50.80460739,-16.02304077,-7.35015440,9.69790936,-140.9235077,130.8804932,125.5193024,0.45263612,3.36013436,1,
G31V,667028,667062,1,230.0000000,645.8792114,714.9102783,711.8980103,113.9772644,-110.6168976,-23.03356171,3.27123260,15.63220501,-140.1760559,283.3898621,269.7605591,3.36036539,28.49085045,1,
