branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680733,33.04058456,-155.3929749,23.25959206,525.4374390,523.6527710,0.82568759,11.02227497,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680733,33.04058456,-155.3929749,23.25959206,525.4374390,523.6527710,0.82568759,11.02227497,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90189171,32.87812042,-155.3954468,23.24734688,523.5697632,521.7801514,0.82415026,10.98288536,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98372078,32.96059799,-155.3730011,23.26991463,523.5875854,521.7930908,0.81986076,10.98353100,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98610687,-8.90846443,-169.4382324,8.41453552,762.7608643,764.8359985,3.16332841,37.52394104,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91311646,-72.91311646,20.87836266,-159.1217041,2844.010010,2844.010010,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77902985,-86.65215302,13.26597786,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5933228,258.6969604,-93.09772491,93.86046600,-145.9629974,33.98200989,683.0803833,682.8432007,0.10363321,1.04373455,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12821198,93.89102936,-145.9570160,33.98799896,683.1058960,682.8685913,0.10364095,1.04381251,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860596,258.6970520,-93.05998230,93.83201599,-145.9698792,33.97551727,683.0314941,682.7961426,0.11102002,1.05098939,1,
667001:667006:1,667001,667006,1,230.0000000,855.9845581,951.1218262,1183.066040,-258.5938721,258.6974182,-92.84068298,93.60277557,-146.0134735,33.93150711,682.8654785,682.6288452,0.10356810,1.04307878,1,
667012:667001:1,667012,667001,1,230.0000000,1393.924438,1393.924438,1393.924438,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894619,178.9357910,791.0858765,788.3942261,2.33703089,22.98410416,1,
667012:667001:2,667012,667001,2,230.0000000,1393.924438,1393.924438,1393.924438,308.2662659,-305.9195251,-65.43081665,83.83941650,-1.89344776,178.9114227,791.0541382,788.3572388,2.34672952,22.98210716,1,
667012:667001:3,667012,667001,3,230.0000000,1152.943481,1216.953979,1183.066040,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894619,178.9357910,791.0858765,788.3942261,2.33703089,22.98410416,1,
L5-1,667007,667108,5,230.0000000,790.7188721,878.0744629,874.0581055,-0.60012478,0.60012800,-3.26431179,3.20434618,-90.32716370,89.48222351,8.33155823,8.18347359,0.00000325,0.00003355,1,
L4-1,667008,667107,4,230.0000000,790.7188721,878.0744629,874.0581055,197.1791229,-197.1674500,6.44064093,-6.38379765,11.92369270,-168.0601196,495.1768799,495.1814270,0.01167410,0.11284962,1,
L3-1,667009,667106,3,230.0000000,790.7188721,878.0744629,874.0581055,197.1684113,-197.1606293,6.44093466,-6.39832926,11.93623066,-168.0513458,495.1730347,495.1765137,0.00778259,0.08560854,1,
L2-1 _1,667010,667105,2,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1605835,6.65421247,-6.62584066,12.00604916,-167.9853058,495.1928101,495.1953125,0.00778320,0.05837401,1,
L1-1 _1,667011,667104,1,230.0000000,790.7188721,878.0744629,874.0581055,197.1683502,-197.1644592,6.76091909,-6.74389458,12.03928280,-167.9555511,495.2023926,495.2039490,0.00389174,0.03502569,1,
L43R,667012,667013,3,230.0000000,1132.108643,1240.047974,1132.108643,-143.8495483,144.3530731,76.23271942,-74.84033203,162.1687927,-18.94553375,408.6655273,412.8538513,0.50351840,4.96554804,1,
L42R,667012,667014,2,230.0000000,1019.148743,1240.047974,1019.148743,-145.0588684,145.5711517,76.97694397,-75.49971008,162.1369324,-18.96817017,412.2226562,416.4158325,0.51228392,5.05199146,1,
L41R,667012,667015,1,230.0000000,1019.148743,1240.047974,1019.148743,-143.8643188,144.3678436,76.20878601,-74.81631470,162.1786652,-18.93574905,408.6701660,412.8570862,0.50352812,4.96564388,1,
667012:667100:S1,667012,667100,S1,230.0000000,25099.67578,25099.67578,25099.67578,-9.14447021,9.14447021,0.00395817,-0.00312195,-169.9348755,10.06518078,22.95460892,22.95460892,0.00000000,0.00083621,1,
L1-2,667012,667104,1,230.0000000,876.0662842,953.8830566,1018.897766,-197.1605530,197.1644440,-7.11033583,6.74389505,-167.8446808,12.04450798,495.2375488,495.2038574,0.00389202,0.01556807,1,
L2-2,667012,667105,2,230.0000000,1393.924438,1393.924438,1393.924438,-197.1605835,197.1605835,-6.87684107,6.62584162,-167.9124451,12.01475811,495.2168579,495.1953125,0.00000000,0.00000000,1,
L3-2,667012,667106,3,230.0000000,876.0662842,953.8830566,1018.897766,-197.1606293,197.1606293,-6.58932829,6.39832830,-167.9958954,11.94871426,495.1923218,495.1765137,0.00000000,0.00000000,1,
L4-2,667012,667107,4,230.0000000,876.0662842,953.8830566,1018.897766,-197.1635437,197.1674347,-6.75023937,6.38379765,-167.9492188,11.93994999,495.2133179,495.1813660,0.00389165,0.01556659,1,
L5-2,667012,667108,5,230.0000000,876.0662842,953.8830566,1018.897766,0.60012889,-0.60012800,2.63135338,-3.20434618,87.24239349,-90.51783752,6.77487803,8.18347359,0.00000089,0.00000621,1,
R26K,667016,667017,1,230.0000000,664.9569092,664.9569092,925.0155640,-1.31493139,1.31973994,-6.04852343,-19.19554329,-79.61985779,-63.54439163,14.88666439,46.60832214,0.00480855,0.05067541,1,
K24B,667017,669819,1,230.0000000,855.9845581,951.1218262,1263.895142,47.70481110,-47.52023697,-16.00364685,-1.07838368,3.97741127,-153.8615723,121.8875580,114.8558273,0.18457393,1.94331503,1,
P19W-N,667023,667018,1,230.0000000,568.0625000,714.9102783,568.0625000,-33.28205109,33.46299744,-5.16908312,-19.45529938,-144.0613403,-5.26146221,81.15390778,93.52989960,0.18094708,1.30098808,1,
B77W,669819,667018,1,230.0000000,879.0785522,928.0278320,1263.895142,37.39179611,-37.38707352,-4.65061760,3.87317872,17.74871635,-161.0024567,91.04840851,90.82248688,0.00472390,0.04815755,1,
W1,667020,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,-0.20000006,0.20000049,-0.80075896,0.63311607,-78.94851685,97.54370117,1.99215209,1.60256839,0.00000046,0.00000415,1,
W2,667021,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.79996109,-49.79734421,-9.78099442,9.61289978,13.93910789,-165.8511353,122.5007019,122.4133911,0.00261780,0.02118039,1,
W3,667022,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.79996490,-49.79734421,-9.77198029,9.61132622,13.94803810,-165.8493958,122.4969635,122.4126816,0.00261771,0.02213151,1,
W73H,667019,667054,1,230.0000000,1023.918213,1344.975098,1023.918213,54.62790298,-54.21969223,-9.92329597,8.42733097,14.77927113,-160.0332794,134.0115204,133.6851959,0.40820768,3.55561686,1,
W74H,667019,667054,2,230.0000000,1023.918213,1344.975098,1023.918213,54.62790298,-54.21969223,-9.92329597,8.42733097,14.77927113,-160.0332794,134.0115204,133.6851959,0.40820768,3.55561686,1,
W76B,667019,669819,1,230.0000000,855.9845581,951.1218262,1084.916504,-10.12310505,10.12843704,-0.27302092,-8.32384968,-153.3802338,-14.57590199,24.44272423,31.67851639,0.00533191,0.04628321,1,
P19W-S,669820,667023,1,230.0000000,568.0625000,714.9102783,568.0625000,-32.26181412,32.28861618,-8.97917652,5.10709047,-137.0211182,36.09858322,80.85298920,78.76599121,0.02680137,0.19194216,1,
J2LD,667026,667024,Z2,230.0000000,775.9085693,903.9297485,775.9085693,1.80098820,-1.80098605,2.93373394,-2.96183991,84.64144135,-95.11544037,8.30890179,8.36682320,0.00000221,0.00001545,1,
J1LD,667026,667025,Z1,230.0000000,775.9085693,903.9297485,775.9085693,-42.95332336,42.95367432,7.05423498,-7.07990360,-163.1397705,16.82377243,105.0640106,105.0750275,0.00035040,0.00245278,1,
J30P,667026,669820,1,230.0000000,775.9085693,903.9297485,775.9085693,31.47783852,-31.39658546,-10.60732079,-3.94682670,7.56408119,-145.4091797,80.17491150,76.39996338,0.08125107,0.67894101,1,
G8P-S,667028,667027,1,230.0000000,568.0625000,714.9102783,568.0625000,-18.06243706,18.10698700,23.97668457,3.17236781,156.0024414,38.23156738,73.15913391,44.35524368,0.04455089,0.33498442,1,
G8P-N,667027,669820,1,230.0000000,568.0625000,714.9102783,568.0625000,-18.19308090,18.23003006,-5.28888941,-11.66258717,-135.4963074,-5.18304110,45.71480942,52.25060272,0.03694822,0.27798086,1,
G1A,667028,667029,1,230.0000000,879.0785522,928.0278320,1021.910034,17.56538391,-17.49397087,-41.17114639,-17.55258942,-37.88436508,-104.2581711,109.0888214,59.44142151,0.07141404,0.69603181,1,
G2A,667028,667029,2,230.0000000,879.0785522,928.0278320,1021.910034,17.56538391,-17.49397087,-41.17114639,-17.55258942,-37.88436508,-104.2581711,109.0888214,59.44142151,0.07141404,0.69603181,1,
G9F,667028,667060,1,230.0000000,480.9578857,647.8874512,480.9578857,66.90747070,-66.13227081,-19.29983711,-1.76051188,12.91996574,-144.5091858,169.7088013,161.2683258,0.77519876,5.75467062,1,
G31V,667028,667062,1,230.0000000,645.8792114,714.9102783,711.8980103,91.59781647,-89.42578888,-26.85684586,-3.12427282,12.66912174,-137.3919983,232.6311340,217.4741058,2.17202139,18.41547966,1,
