branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680542,33.04058075,-155.3929749,23.25959587,525.4373779,523.6527100,0.82568771,11.02227592,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680542,33.04058075,-155.3929749,23.25959587,525.4373779,523.6527100,0.82568771,11.02227592,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90188599,32.87811661,-155.3954468,23.24735260,523.5697632,521.7801514,0.82415032,10.98288631,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98371696,32.96059418,-155.3730011,23.26991844,523.5875244,521.7930908,0.81986076,10.98353195,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98611069,-8.90846825,-169.4382324,8.41454029,762.7609253,764.8359985,3.16332793,37.52393723,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91311646,-72.91311646,20.87836647,-159.1217041,2844.010254,2844.010254,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77903748,-86.65214539,13.26597786,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5933228,258.6969604,-93.09772491,93.86046600,-145.9629974,33.98201752,683.0803833,682.8432007,0.10363321,1.04373455,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12821198,93.89102936,-145.9570160,33.98800278,683.1058350,682.8686523,0.10364095,1.04381251,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860596,258.6970520,-93.05998230,93.83201599,-145.9698792,33.97552109,683.0316162,682.7962036,0.11102000,1.05098939,1,
667001:667006:1,667001,667006,1,230.0000000,855.9845581,951.1218262,1183.066040,-258.5938721,258.6974487,-92.84068298,93.60277557,-146.0134583,33.93151093,682.8654785,682.6288452,0.10356810,1.04307878,1,
667012:667001:1,667012,667001,1,230.0000000,1393.924438,1393.924438,1393.924438,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894107,178.9358063,791.0858765,788.3942261,2.33703089,22.98410416,1,
667012:667001:2,667012,667001,2,230.0000000,1393.924438,1393.924438,1393.924438,308.2662659,-305.9195251,-65.43081665,83.83941650,-1.89344263,178.9114227,791.0541382,788.3571777,2.34672952,22.98210716,1,
667012:667001:3,667012,667001,3,230.0000000,1152.943481,1216.953979,1183.066040,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894107,178.9358063,791.0858765,788.3942261,2.33703089,22.98410416,1,
L5-1,667007,667108,5,230.0000000,790.7188721,878.0744629,874.0581055,-0.60012478,0.60012800,-3.26431179,3.20434618,-90.32716370,89.48223114,8.33155918,8.18347454,0.00000325,0.00003355,1,
L4-1,667008,667107,4,230.0000000,790.7188721,878.0744629,874.0581055,197.1791534,-197.1674652,6.44034958,-6.38350677,11.92361355,-168.0601959,495.1768799,495.1814575,0.01167410,0.11284962,1,
L3-1,667009,667106,3,230.0000000,790.7188721,878.0744629,874.0581055,197.1684265,-197.1606445,6.44064379,-6.39803791,11.93615150,-168.0514221,495.1730347,495.1765747,0.00778259,0.08560854,1,
L2-1 _1,667010,667105,2,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1605988,6.65392208,-6.62554932,12.00596905,-167.9853821,495.1928101,495.1952820,0.00778320,0.05837401,1,
L1-1 _1,667011,667104,1,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1644745,6.76062870,-6.74360371,12.03920364,-167.9556427,495.2024231,495.2039490,0.00389174,0.03502570,1,
L43R,667012,667013,3,230.0000000,1132.108643,1240.047974,1132.108643,-143.8464813,144.3499908,76.23233032,-74.84012604,162.1684113,-18.94593048,408.6582947,412.8466797,0.50350070,4.96537352,1,
L42R,667012,667014,2,230.0000000,1019.148743,1240.047974,1019.148743,-145.0557861,145.5680542,76.97655487,-75.49949646,162.1365509,-18.96856117,412.2153320,416.4086304,0.51226586,5.05181313,1,
L41R,667012,667015,1,230.0000000,1019.148743,1240.047974,1019.148743,-143.8612518,144.3647766,76.20839691,-74.81610107,162.1782990,-18.93614006,408.6629028,412.8499451,0.50351036,4.96546936,1,
667012:667100:S1,667012,667100,S1,230.0000000,25099.67578,25099.67578,25099.67578,-9.15357494,9.15357494,0.00395900,-0.00312112,-169.9348450,10.06520557,22.97746277,22.97746277,0.00000000,0.00083788,1,
L1-2,667012,667104,1,230.0000000,876.0662842,953.8830566,1018.897766,-197.1605835,197.1644745,-7.11004448,6.74360371,-167.8447571,12.04442883,495.2376099,495.2039490,0.00389202,0.01556807,1,
L2-2,667012,667105,2,230.0000000,1393.924438,1393.924438,1393.924438,-197.1605835,197.1605835,-6.87654781,6.62554789,-167.9125214,12.01467705,495.2168274,495.1952515,0.00000000,0.00000000,1,
L3-2,667012,667106,3,230.0000000,876.0662842,953.8830566,1018.897766,-197.1606903,197.1606903,-6.58903790,6.39803791,-167.9959717,11.94863415,495.1924133,495.1766663,0.00000000,0.00000000,1,
L4-2,667012,667107,4,230.0000000,876.0662842,953.8830566,1018.897766,-197.1635742,197.1674652,-6.74994898,6.38350677,-167.9492950,11.93987083,495.2133484,495.1814575,0.00389165,0.01556660,1,
L5-2,667012,667108,5,230.0000000,876.0662842,953.8830566,1018.897766,0.60012889,-0.60012800,2.63135338,-3.20434618,87.24240112,-90.51782990,6.77487803,8.18347454,0.00000089,0.00000621,1,
R26K,667016,667017,1,230.0000000,664.9569092,664.9569092,925.0155640,-1.31648386,1.32129335,-6.04813099,-19.19593239,-81.40868378,-65.31397247,14.88653088,46.60951996,0.00480953,0.05068568,1,
K24B,667017,669819,1,230.0000000,855.9845581,951.1218262,1263.895142,47.68669510,-47.50226212,-16.00266075,-1.08083034,2.19780278,-155.6331177,121.8451920,114.8125229,0.18443535,1.94185579,1,
P19W-N,667023,667018,1,230.0000000,568.0625000,714.9102783,568.0625000,-34.83531189,35.03334045,-4.88216209,-19.61965942,-146.5814514,-6.10983801,84.75452423,97.02243042,0.19802919,1.42380631,1,
B77W,669819,667018,1,230.0000000,879.0785522,928.0278320,1263.895142,38.94483566,-38.93971252,-4.80724287,4.03388166,16.02666283,-162.7741852,94.81917572,94.59417725,0.00512389,0.05223518,1,
W1,667020,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,-0.20000006,0.20000049,-0.80075896,0.63311607,-80.75903320,95.73319244,1.99215209,1.60256839,0.00000046,0.00000415,1,
W2,667021,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.79996109,-49.79733658,-10.00593567,9.83787727,11.87961197,-167.9109955,122.6067429,122.5174713,0.00262229,0.02121674,1,
W3,667022,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.79996490,-49.79734039,-9.99690056,9.83628654,11.88854790,-167.9092407,122.6028976,122.5167313,0.00262220,0.02216948,1,
W73H,667019,667054,1,230.0000000,1023.918213,1344.975098,1023.918213,53.84308624,-53.44659805,-10.05475807,8.46009541,12.68673134,-162.0575104,132.2060547,131.8096924,0.39648888,3.45354199,1,
W74H,667019,667054,2,230.0000000,1023.918213,1344.975098,1023.918213,53.84308624,-53.44659805,-10.05475807,8.46009541,12.68673134,-162.0575104,132.2060547,131.8096924,0.39648888,3.45354199,1,
W76B,667019,669819,1,230.0000000,855.9845581,951.1218262,1084.916504,-8.55347443,8.55742550,-0.45991802,-8.14894009,-153.6578217,-20.53585625,20.67509270,28.55350113,0.00395101,0.03429640,1,
P19W-S,669820,667023,1,230.0000000,568.0625000,714.9102783,568.0625000,-33.81265640,33.84187698,-8.67507076,4.82016945,-139.8385315,33.54680634,84.27871704,82.36352539,0.02921977,0.20926189,1,
J2LD,667026,667024,Z2,230.0000000,775.9085693,903.9297485,775.9085693,1.80098820,-1.80098605,2.93373394,-2.96183991,82.98735809,-96.76952362,8.30890179,8.36682320,0.00000221,0.00001545,1,
J1LD,667026,667025,Z1,230.0000000,775.9085693,903.9297485,775.9085693,-42.95328140,42.95362854,7.08902407,-7.11469221,-164.8390350,15.12450790,105.0775375,105.0886154,0.00035049,0.00245341,1,
J30P,667026,669820,1,230.0000000,775.9085693,903.9297485,775.9085693,31.47778511,-31.39651680,-10.64205456,-3.91231322,5.85321426,-147.1251221,80.20159912,76.38764191,0.08126777,0.67908049,1,
G8P-S,667028,667027,1,230.0000000,568.0625000,714.9102783,568.0625000,-26.18025780,26.25834274,25.31800270,2.08476496,164.0598297,31.56625938,88.75902557,63.56359863,0.07808498,0.58713192,1,
G8P-N,667027,669820,1,230.0000000,568.0625000,714.9102783,568.0625000,-26.34443283,26.42151642,-4.20128965,-12.44692039,-143.9122772,0.54725510,64.37526703,70.51410675,0.07708391,0.57994264,1,
G1A,667028,667029,1,230.0000000,879.0785522,928.0278320,1021.910034,18.07328987,-18.00576973,-39.22311783,-19.35634995,-37.16009521,-103.1618195,105.2506485,63.60238266,0.06751830,0.65806234,1,
G2A,667028,667029,2,230.0000000,879.0785522,928.0278320,1021.910034,18.07328987,-18.00576973,-39.22311783,-19.35634995,-37.16009521,-103.1618195,105.2506485,63.60238266,0.06751830,0.65806234,1,
G9F,667028,667060,1,230.0000000,480.9578857,647.8874512,480.9578857,58.53347778,-57.94191360,-17.46910095,-4.90665531,11.48299980,-142.7281952,148.8697205,142.0043945,0.59156662,4.39148140,1,
G31V,667028,667062,1,230.0000000,645.8792114,714.9102783,711.8980103,107.0814285,-104.1146393,-22.15313530,-0.76000839,16.41201401,-137.8736115,266.4948120,254.7843781,2.96678591,25.15388680,1,
U91A-N,667029,667030,1,230.0000000,1039.983643,1199.884521,1039.983643,-73.56014252,73.73809814,47.93661118,-4.16584158,176.6771240,25.20724869,211.2382965,177.1930389,0.17795111,1.70942414,1,
A4D,667029,667035,1,230.0000000,1179.049683,1199.884521,1179.049683,-96.70256042,97.76371002,-6.70201921,-23.82137108,-146.2675171,9.97329998,233.2124634,241.7112427,1.06115162,10.34951496,1,
A6V,667029,667062,1,230.0000000,711.8980103,829.8782959,711.8980103,187.2583466,-181.9888458,-3.62058139,16.88551331,28.66032410,-143.5927582,450.6046143,447.2553711,5.26949596,38.43955231,1,
667030:667031:1,667030,667031,1,230.0000000,562.0379639,706.1245117,562.0379639,-12.09402561,12.10916615,1.92312896,-13.70657349,-160.5945435,-20.49476814,29.38028908,44.02054977,0.01514093,0.10850050,1,
667030:667080:1,667030,667080,1,230.0000000,1039.983643,1308.074829,1039.983643,-61.64405823,61.98263931,2.24271274,-30.18191528,-153.6429138,-0.42797214,147.9929962,166.7160339,0.33857858,3.26451516,1,
667038:667031:1,667038,667031,1,230.0000000,1084.916504,1178.045654,1084.916504,59.63735580,-59.25609970,-22.22545242,2.99102139,4.51112509,-154.8436432,153.9673004,142.8044281,0.38125652,3.27723479,1,
667035:667033:Z1,667035,667033,Z1,230.0000000,2229.074219,2229.074219,0.00000000,2.73333359,-2.73333311,0.55215371,-0.61766666,35.08778763,-143.5990143,6.69842625,6.73135900,0.00000043,0.00000851,1,
667035:667033:Z2,667035,667033,Z2,230.0000000,2229.074219,2229.074219,0.00000000,2.73333359,-2.73333311,0.55215371,-0.61766666,35.08778763,-143.5990143,6.69842625,6.73135900,0.00000043,0.00000851,1,
667033:667035:Z3,667033,667035,Z3,230.0000000,2229.074219,2229.074219,0.00000000,-2.73333311,2.73333359,-0.61766666,0.55215371,-143.5990143,35.08778763,6.73135900,6.69842625,0.00000043,0.00000851,1,
667035:667038:1,667035,667038,1,230.0000000,1179.049683,1245.068481,1263.895142,138.2151642,-137.8919220,28.94476891,-29.45665741,35.49515152,-142.9913177,339.2118530,341.1130676,0.32323921,3.29850960,1,
667035:667038:2,667035,667038,2,230.0000000,1179.049683,1245.068481,1263.895142,134.3878937,-134.0886078,28.80750084,-29.32122040,35.76617432,-142.7149353,330.1495972,332.0505676,0.29928553,3.21209955,1,
667035:667038:3,667035,667038,3,230.0000000,1179.049683,1245.068481,1263.895142,140.7138824,-140.3863831,29.54767036,-30.05253601,35.52620697,-142.9667206,345.3835449,347.3157043,0.32748884,3.35866475,1,
667035:667039:1,667035,667039,1,230.0000000,1152.943481,1216.953979,1263.895142,52.51441193,-52.43718719,1.64948368,-7.58634806,25.46637726,-147.2335510,126.2082138,127.6295319,0.07722089,0.80712390,1,
667035:667043:1,667035,667043,1,230.0000000,1263.895142,1373.089600,1263.895142,44.04194641,-43.95916367,-5.80123043,-3.93869662,16.16346359,-150.0697174,106.7079544,106.1734543,0.08278260,0.87650073,1,
