branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680542,33.04058075,-155.3929749,23.25959587,525.4373779,523.6527100,0.82568771,11.02227592,1,
667000:667001:2,667000,667001,2,230.0000000,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680542,33.04058075,-155.3929749,23.25959587,525.4373779,523.6527100,0.82568771,11.02227592,1,
667000:667001:3,667000,667001,3,230.0000000,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90188599,32.87811661,-155.3954468,23.24735260,523.5697632,521.7801514,0.82415032,10.98288631,1,
667000:667001:4,667000,667001,4,230.0000000,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98371696,32.96059418,-155.3730011,23.26991844,523.5875244,521.7930908,0.81986076,10.98353195,1,
667000:667012:1,667000,667012,1,230.0000000,1976.044067,2145.985840,1976.044067,-301.3955688,304.5589294,34.98611069,-8.90846825,-169.4382324,8.41454029,762.7609253,764.8359985,3.16332793,37.52393723,1,
667000:667669:Z1,667000,667669,Z1,230.0000000,5020.437500,5020.437500,5020.437500,1128.969482,-1128.969482,72.91311646,-72.91311646,20.87836647,-159.1217041,2844.010254,2844.010254,0.00000000,0.00000000,1,
667001:667002:5,667001,667002,5,230.0000000,855.9845581,951.1218262,1183.066040,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77903748,-86.65214539,13.26597786,13.94995499,0.00004114,0.00041436,1,
667001:667003:4,667001,667003,4,230.0000000,855.9845581,951.1218262,1183.066040,-258.5933228,258.6969604,-93.09770966,93.86045074,-145.9629974,33.98201752,683.0803833,682.8432007,0.10363320,1.04373443,1,
667001:667004:3,667001,667004,3,230.0000000,855.9845581,951.1218262,1183.066040,-258.5932617,258.6968994,-93.12819672,93.89102173,-145.9570160,33.98799896,683.1058350,682.8686523,0.10364094,1.04381227,1,
667001:667005:2,667001,667005,2,230.0000000,855.9845581,951.1218262,1183.066040,-258.5860596,258.6970520,-93.05997467,93.83200073,-145.9698792,33.97551727,683.0314941,682.7962036,0.11102002,1.05098939,1,
667001:667006:1,667001,667006,1,230.0000000,855.9845581,951.1218262,1183.066040,-258.5938721,258.6974182,-92.84066772,93.60276794,-146.0134583,33.93151093,682.8654175,682.6287842,0.10356808,1.04307866,1,
667012:667001:1,667012,667001,1,230.0000000,1393.924438,1393.924438,1393.924438,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894023,178.9358063,791.0858765,788.3942261,2.33703089,22.98410416,1,
667012:667001:2,667012,667001,2,230.0000000,1393.924438,1393.924438,1393.924438,308.2662659,-305.9195251,-65.43081665,83.83941650,-1.89344180,178.9114227,791.0541382,788.3571777,2.34672952,22.98210716,1,
667012:667001:3,667012,667001,3,230.0000000,1152.943481,1216.953979,1183.066040,308.3065491,-305.9695129,-65.30159760,83.71321106,-1.86894023,178.9358063,791.0858765,788.3942261,2.33703089,22.98410416,1,
L5-1,667007,667108,5,230.0000000,790.7188721,878.0744629,874.0581055,-0.60012478,0.60012800,-3.26431179,3.20434618,-90.32716370,89.48223114,8.33155918,8.18347454,0.00000325,0.00003355,1,
L4-1,667008,667107,4,230.0000000,790.7188721,878.0744629,874.0581055,197.1791534,-197.1674652,6.44033194,-6.38348913,11.92360783,-168.0601959,495.1769104,495.1814575,0.01167410,0.11284964,1,
L3-1,667009,667106,3,230.0000000,790.7188721,878.0744629,874.0581055,197.1684265,-197.1606445,6.44062662,-6.39802074,11.93614578,-168.0514374,495.1730347,495.1765137,0.00778260,0.08560855,1,
L2-1 _1,667010,667105,2,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1606140,6.65390348,-6.62553167,12.00596428,-167.9853973,495.1928101,495.1953430,0.00778320,0.05837401,1,
L1-1 _1,667011,667104,1,230.0000000,790.7188721,878.0744629,874.0581055,197.1683807,-197.1644745,6.76061058,-6.74358606,12.03919888,-167.9556427,495.2024231,495.2039490,0.00389174,0.03502569,1,
L43R,667012,667013,3,230.0000000,1132.108643,1240.047974,1132.108643,-143.8463135,144.3498230,76.23231506,-74.84011078,162.1683960,-18.94595146,408.6578674,412.8462830,0.50349975,4.96536398,1,
L42R,667012,667014,2,230.0000000,1019.148743,1240.047974,1019.148743,-145.0556183,145.5678864,76.97653198,-75.49948120,162.1365356,-18.96858025,412.2149353,416.4082642,0.51226491,5.05180407,1,
L41R,667012,667015,1,230.0000000,1019.148743,1240.047974,1019.148743,-143.8610992,144.3646088,76.20837402,-74.81609344,162.1782684,-18.93616486,408.6625366,412.8495178,0.50350940,4.96545935,1,
667012:667100:S1,667012,667100,S1,230.0000000,25099.67578,25099.67578,25099.67578,-9.15404892,9.15404892,0.00395904,-0.00312108,-169.9348450,10.06520653,22.97865105,22.97865105,0.00000000,0.00083797,1,
L1-2,667012,667104,1,230.0000000,876.0662842,953.8830566,1018.897766,-197.1605835,197.1644897,-7.11002636,6.74358606,-167.8447571,12.04442406,495.2376099,495.2039795,0.00389202,0.01556807,1,
L2-2,667012,667105,2,230.0000000,1393.924438,1393.924438,1393.924438,-197.1605835,197.1605835,-6.87653208,6.62553215,-167.9125214,12.01467419,495.2168274,495.1952820,0.00000000,0.00000000,1,
L3-2,667012,667106,3,230.0000000,876.0662842,953.8830566,1018.897766,-197.1606598,197.1606598,-6.58902311,6.39802313,-167.9959869,11.94862938,495.1923828,495.1765747,0.00000000,0.00000000,1,
L4-2,667012,667107,4,230.0000000,876.0662842,953.8830566,1018.897766,-197.1635742,197.1674805,-6.74993086,6.38348913,-167.9493103,11.93986511,495.2133789,495.1814880,0.00389165,0.01556660,1,
L5-2,667012,667108,5,230.0000000,876.0662842,953.8830566,1018.897766,0.60012889,-0.60012800,2.63135338,-3.20434618,87.24240112,-90.51782990,6.77487803,8.18347454,0.00000089,0.00000621,1,
R26K,667016,667017,1,230.0000000,664.9569092,664.9569092,925.0155640,-1.31472623,1.31953466,-6.04857635,-19.19549179,-79.08624268,-63.01332474,14.88668442,46.60816193,0.00480842,0.05067405,1,
K24B,667017,669819,1,230.0000000,855.9845581,951.1218262,1263.895142,47.70721436,-47.52262115,-16.00377846,-1.07805872,4.50980902,-153.3302460,121.8931808,114.8615646,0.18459232,1.94350874,1,
P19W-N,667023,667018,1,230.0000000,568.0625000,714.9102783,568.0625000,-33.07554626,33.25416946,-5.26110697,-19.37825203,-143.3340759,-4.78719044,80.70202637,93.00032043,0.17862332,1.28428042,1,
B77W,669819,667018,1,230.0000000,879.0785522,928.0278320,1263.895142,37.18526840,-37.18059921,-4.57571554,3.79773378,18.35518837,-160.3886719,90.53090668,90.30770874,0.00467042,0.04761237,1,
W1,667020,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,-0.20000006,0.20000049,-0.80075896,0.63311607,-78.41201019,98.08020782,1.99215209,1.60256839,0.00000046,0.00000415,1,
W2,667021,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.80007553,-49.79746246,-9.60134697,9.43322372,14.67479420,-165.1151733,122.4179688,122.3322144,0.00261430,0.02115205,1,
W3,667022,667019,1,230.0000000,854.9804688,873.0540161,1084.916504,49.80007553,-49.79745865,-9.59234715,9.43166351,14.68372345,-165.1134338,122.4142838,122.3315125,0.00261420,0.02210191,1,
W73H,667019,667054,1,230.0000000,1023.918213,1344.975098,1023.918213,54.73229218,-54.32237244,-9.75565529,8.27118778,15.50499439,-159.3128052,134.1878357,133.9024658,0.40992001,3.57053137,1,
W74H,667019,667054,2,230.0000000,1023.918213,1344.975098,1023.918213,54.73229218,-54.32237244,-9.75565529,8.27118778,15.50499439,-159.3128052,134.1878357,133.9024658,0.40992001,3.57053137,1,
W76B,667019,669819,1,230.0000000,855.9845581,951.1218262,1084.916504,-10.33183002,10.33736134,-0.24809390,-8.34703636,-153.0130615,-13.54932690,24.94482231,32.10530853,0.00553245,0.04802393,1,
P19W-S,669820,667023,1,230.0000000,568.0625000,714.9102783,568.0625000,-32.05559158,32.08210373,-9.07270432,5.19911337,-136.2557526,36.83316040,80.44077301,78.31477356,0.02651134,0.18986505,1,
J2LD,667026,667024,Z2,230.0000000,775.9085693,903.9297485,775.9085693,1.80098820,-1.80098605,2.93373394,-2.96183991,85.15715790,-94.59973145,8.30890274,8.36682320,0.00000221,0.00001545,1,
J1LD,667026,667025,Z1,230.0000000,775.9085693,903.9297485,775.9085693,-42.95360565,42.95395660,6.94258976,-6.96825981,-162.4789124,17.48459244,105.0213470,105.0322037,0.00035011,0.00245079,1,
J30P,667026,669820,1,230.0000000,775.9085693,903.9297485,775.9085693,31.47805405,-31.39685440,-10.49536800,-4.05805492,8.26310921,-144.6941986,80.08952332,76.44039917,0.08119881,0.67850423,1,
G8P-S,667028,667027,1,230.0000000,568.0625000,714.9102783,568.0625000,-16.96942520,17.01038361,23.85130310,3.27113581,154.8570251,39.64303207,71.33874512,41.79687119,0.04095855,0.30797306,1,
G8P-N,667027,669820,1,230.0000000,568.0625000,714.9102783,568.0625000,-17.09644699,17.12914467,-5.38765812,-11.59403610,-133.7508850,-6.15133476,43.25239944,49.94298172,0.03269963,0.24601647,1,
G1A,667028,667029,1,230.0000000,879.0785522,928.0278320,1021.910034,15.97397041,-15.91346836,-40.50190353,-18.27766228,-39.04934692,-100.1258850,106.1070480,58.17764282,0.06050314,0.58968955,1,
G2A,667028,667029,2,230.0000000,879.0785522,928.0278320,1021.910034,15.97397041,-15.91346836,-40.50190353,-18.27766228,-39.04934692,-100.1258850,106.1070480,58.17764282,0.06050314,0.58968955,1,
G9F,667028,667060,1,230.0000000,480.9578857,647.8874512,480.9578857,68.60445404,-67.79074860,-18.78039169,-1.97345984,14.11678600,-143.8274078,173.3477631,165.4513702,0.81370938,6.04055309,1,
G31V,667028,667062,1,230.0000000,645.8792114,714.9102783,711.8980103,91.99260712,-89.80327606,-25.48883820,-4.20373964,13.93965530,-136.2324677,232.6422424,219.1394043,2.18932414,18.56217957,1,
U91A-N,667029,667030,1,230.0000000,1039.983643,1199.884521,1039.983643,-60.40790176,60.52738571,48.88915634,-5.48586178,171.9348602,24.65260315,186.5579987,145.6030121,0.11948463,1.14778662,1,
A4D,667029,667035,1,230.0000000,1179.049683,1199.884521,1179.049683,-87.31349182,88.17894745,-6.69512606,-25.82655525,-144.6965790,9.09054470,210.2210693,220.7148438,0.86544985,8.44081688,1,
A6V,667029,667062,1,230.0000000,711.8980103,829.8782959,711.8980103,160.5313721,-156.6793213,-6.73857021,9.51034260,28.51498795,-142.3861237,385.7128296,382.6161194,3.85204673,28.09964371,1,
667030:667031:1,667030,667031,1,230.0000000,562.0379639,706.1245117,562.0379639,-7.47646189,7.48545361,2.28081656,-14.13600731,-167.1338348,-32.52353287,18.72669792,38.46518707,0.00899204,0.06443727,1,
667030:667080:1,667030,667080,1,230.0000000,1039.983643,1308.074829,1039.983643,-53.05095291,53.31090546,3.20505047,-31.93556595,-153.6259308,-3.60613751,127.3287048,150.3387299,0.25995177,2.50640917,1,
667038:667031:1,667038,667031,1,230.0000000,1084.916504,1178.045654,1084.916504,54.96018982,-54.63219833,-23.13207626,3.42367077,3.88709998,-154.0120697,144.2825165,131.6338348,0.32798910,2.81935453,1,
667035:667033:Z1,667035,667033,Z1,230.0000000,2229.074219,2229.074219,0.00000000,2.73333359,-2.73333311,0.55215371,-0.61766666,36.83571625,-141.8510895,6.69842625,6.73135900,0.00000043,0.00000851,1,
667035:667033:Z2,667035,667033,Z2,230.0000000,2229.074219,2229.074219,0.00000000,2.73333359,-2.73333311,0.55215371,-0.61766666,36.83571625,-141.8510895,6.69842625,6.73135900,0.00000043,0.00000851,1,
667033:667035:Z3,667033,667035,Z3,230.0000000,2229.074219,2229.074219,0.00000000,-2.73333311,2.73333359,-0.61766666,0.55215371,-141.8510895,36.83571625,6.73135900,6.69842625,0.00000043,0.00000851,1,
667035:667038:1,667035,667038,1,230.0000000,1179.049683,1245.068481,1263.895142,139.8083496,-139.4769592,29.94223022,-30.37028313,37.50344086,-141.0032349,343.4522705,345.3914490,0.33138645,3.38164830,1,
667035:667038:2,667035,667038,2,230.0000000,1179.049683,1245.068481,1263.895142,135.9339905,-135.6271515,29.78578758,-30.21786118,37.77451706,-140.7269135,334.2770081,336.2150269,0.30682901,3.29306054,1,
667035:667038:3,667035,667038,3,230.0000000,1179.049683,1245.068481,1263.895142,142.3355408,-141.9998016,30.56406021,-30.98356438,37.53445816,-140.9786072,349.7012024,351.6718140,0.33574322,3.44332004,1,
667035:667039:1,667035,667039,1,230.0000000,1152.943481,1216.953979,1263.895142,51.47789764,-51.40359879,1.86825848,-7.83546543,27.49371910,-145.0684662,123.7375946,125.2598648,0.07429250,0.77651596,1,
667035:667043:1,667035,667043,1,230.0000000,1263.895142,1373.089600,1263.895142,43.43400192,-43.35349655,-5.46506691,-4.29758644,18.24368858,-147.7970428,105.1564178,104.8177872,0.08050414,0.85237640,1,
