branch_name,branch_metered_bus,branch_other_bus,branch_id,branch_basekv,rateA,rateB,rateC,pwr_metered,pwr_other,q_metered,q_other,amp_angle_metered,amp_angle_other,amp_metered,amp_other,ploss,qloss,stat,violate
667000:667001:1,667000,667001,1,230,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680733,33.04058456,-155.3929749,23.25959206,525.437439,523.652771,0.82568777,11.02227688,1,Fail
667000:667001:2,667000,667001,2,230,1457.934937,1584.952026,1457.934937,-207.2621307,208.0878296,-27.00680733,33.04058456,-155.3929749,23.25959206,525.437439,523.652771,0.82568777,11.02227688,1,
667000:667001:3,667000,667001,3,230,1457.934937,1584.952026,1457.934937,-206.5265961,207.3507385,-26.90189171,32.87812042,-155.3954468,23.24734688,523.5697632,521.7801514,0.82415032,10.98288727,1,
667000:667001:4,667000,667001,4,230,1457.934937,1584.952026,1457.934937,-206.5230408,207.3428802,-26.98372078,32.96059799,-155.3730011,23.26991272,523.5875854,521.7930908,0.81986088,10.98353291,1,
667000:667012:1,667000,667012,1,230,1976.044067,2145.98584,1976.044067,-301.3955688,304.5589294,34.98610687,-8.90846443,-169.4382324,8.41453457,762.7608643,764.8359985,3.16332841,37.52394104,1,
667000:667669:Z1,667000,667669,Z1,230,5020.4375,5020.4375,5020.4375,1128.969482,-1128.969482,72.91311646,-72.91311646,20.87836266,-159.1217041,2844.01001,2844.01001,0,0,1,
667001:667002:5,667001,667002,5,230,855.9845581,951.1218262,1183.06604,1.06035328,-1.06031203,5.23125744,-5.51134968,92.77902985,-86.65215302,13.26597786,13.94995499,0.00004114,0.00041436,1,1
667001:667003:4,667001,667003,4,230,855.9845581,951.1218262,1183.06604,-258.5933228,258.6969604,-93.09772491,93.860466,-145.9629974,33.98200989,683.0803833,682.8432007,0.10363321,1.04373443,1,
667001:667004:3,667001,667004,3,230,855.9845581,951.1218262,1183.06604,-258.5932617,258.6968994,-93.12821198,93.89102936,-145.957016,33.98799515,683.105896,682.8685913,0.10364094,1.04381227,1,
667001:667005:2,667001,667005,2,230,855.9845581,951.1218262,1183.06604,-258.5860596,258.697052,-93.0599823,93.83201599,-145.9698792,33.97551346,683.0314941,682.7961426,0.11102001,1.05098939,1,
667001:667006:1,667001,667006,1,230,855.9845581,951.1218262,1183.06604,-258.5938721,258.6974182,-92.84069061,93.60277557,-146.0134735,33.93150711,682.8654785,682.6288452,0.10356808,1.04307866,1,
