bus_num,bus_name,bus_area,bus_zone,bus_owner,bus_basekv,criteria_nlo,criteria_nhi,criteria_elo,criteria_ehi,stat,bus_pu,bus_angle,violate
667000,KEEWATINOHK4230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.09000003,1,0.99854171,-17.18311882,
667001,HENDAY 4    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.09000003,1,1.00999999,-14.23737812,
667002,LIMEST54    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.00992358,-14.23779583,
667003,LIMEST44    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.01166213,-14.04021740,
667004,LIMEST34    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.01166260,-14.04022121,
667005,LIMEST24    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.01169646,-14.03929901,
667006,LIMEST14    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.01165855,-14.04019642,
667007,LONGSL54    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,0.99998766,-10.09004498,
667008,LONGSL44    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.00010002,-10.05285740,
667009,LONGSL34    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.00005352,-10.06520844,
667010,LONGSL24    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.00004935,-10.07311821,
667011,LONGSL14    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.00004828,-10.07537937,
667012,LONGSPR4    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.00000000,-10.08998585,
667013,RADL43R4    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,0.98863631,-8.45913887,
667014,RADL42R4    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,0.98852772,-8.44514751,
667015,RADL41R4    230.00,667,11,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,0.98864102,-8.45901489,
667016,RADISON4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04373670,-20.95026779,
667017,KELSEY 4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03626847,-20.82750130,
667018,MYSLKRD4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03886127,-23.21923256,
667019,WUSK SS4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03999996,-23.34351730,
667020,WUSK 3 4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03999424,-23.34356880,
667021,WUSK 2 4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03996778,-23.31945992,
667022,WUSK 1 4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03996396,-23.31840515,
667023,DUNLOP 4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04181707,-25.51933670,
667024,JENPE46B    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03999567,-24.61149979,
667025,JENPE13B    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03999865,-24.60813522,
667026,JENPEG 4    230.00,667,12,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03999996,-24.61139679,
667027,WILRIVR4    230.00,667,13,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04024220,-27.10465622,
667028,GR.RPDS4    230.00,667,13,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.02999997,-28.17755508,
667029,ASHERN 4    230.00,667,13,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04334092,-29.84131241,
667030,SILVRTP4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04625404,-28.51227760,
667031,SILVER 4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04290736,-28.11628723,
667033,DORSEYS4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.05999994,1,1.04499912,-23.73484802,
667035,DORSEY 4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.05999994,1,1.04499996,-23.73467827,
667036,DC5 JCT4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,0.96571612,-20.78783989,
667037,DC6 JCT4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,0.96537918,-20.78557968,
667038,ROSSER 4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.03761542,-25.01837158,
667039,RIDGEWY4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04206932,-24.60088730,
667041,RIEL   4    230.00,667,15,1193,230.0000000,1.00000000,1.04999995,0.94999999,1.10000002,1,1.04499996,-24.15419197,
667043,STVITAL4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04347014,-24.87672615,
667044,TRANTP24    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04331076,-24.43105888,
667045,TRANTP14    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04334104,-24.42631912,
667046,RICHER 4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.02924323,-27.09014702,
667047,LAVEREN4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.04123688,-25.42682457,
667048,LETELER4    230.00,667,15,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,1,1.02760935,-30.55707169,
